acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
Aposentadoria Rural,Chapada de Areia,1
"Crédito Rural, Compra Direta (PAA), Fomento, Aposentadoria Rural",Talismã,1
"Crédito Rural, Fomento, Aposentadoria Rural",Porto Alegre do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Araguaçu,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Araguatins,1
"Fomento, Bolsa Família",Lajeado,1
"Crédito Rural, Compra Direta (PAA)",Sucupira,1
Crédito Rural,Araguaína,1
Não,Paranã,1
"Crédito Rural, PRONAF",Sucupira,1
"Compra Direta (PAA), Fomento",Palmeirópolis,1
Compra Direta (PAA),Alvorada,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Paraíso do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Luzinópolis,1
"Não, ATER",Palmeiras do Tocantins,1
"Não, Crédito Rural",Paranã,1
Aposentadoria Rural,Ipueiras,1
Não,Miranorte,1
"Crédito Rural, Compra Direta (PAA)",Talismã,1
Compra Direta (PAA),Porto Nacional,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Dianópolis,1
Bolsa Família,Rio Sono,1
Não,Barrolândia,1
"Crédito Rural, Bolsa Família",Talismã,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Alvorada,1
Aposentadoria Rural,Rio dos Bois,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Palmas,1
"Crédito Rural, Compra Direta (PAA)",Miracema do Tocantins,1
Crédito Rural,Abreulândia,1
Crédito Rural,Aguiarnópolis,1
"Bolsa Família, MAIS AMLIMENTO",Aragominas,1
Crédito Rural,Novo Acordo,1
"Fomento, Bolsa Família",Palmas,1
"Crédito Rural, Compra Direta (PAA), Fomento",Axixá do Tocantins,1
"Compra Direta (PAA), Aposentadoria Rural",Caseara,1
Crédito Rural,Monte Santo do Tocantins,1
Aposentadoria Rural,Aurora do Tocantins,1
"Crédito Rural, Fomento, Aposentadoria Rural",Peixe,1
"Crédito Rural, Compra Direta (PAA)",Riachinho,1
"Fomento, Bolsa Família",Aragominas,1
Não,Almas,1
"Crédito Rural, Bolsa Família",Ponte Alta do Bom Jesus,1
"Crédito Rural, Aposentadoria Rural",Dueré,1
"Crédito Rural, Aposentadoria Rural",Jaú do Tocantins,1
Compra Direta (PAA),Cariri do Tocantins,1
CREDITO FUNDIARIO,Paraíso do Tocantins,1
Merenda Escolar (PENAE),Colméia,1
Não,Dueré,1
"Crédito Rural, CADASTRO AMBIENTAL RURAL",dois Irmãos do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Rio Sono,1
Crédito Rural,Couto Magalhães,1
"Crédito Rural, Compra Direta (PAA), Bolsa Família, Aposentadoria Rural",Caseara,1
Não,Angico,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Palmeiras do Tocantins,1
Bolsa Família,Monte do Carmo,1
Crédito Rural,Aragominas,1
"Não, Bolsa Família",Miranorte,1
"Bolsa Família, Aposentadoria Rural, Aposento por Incapacidade Permamente",Marianópolis do Tocantins,1
Fomento,Palmeiras do Tocantins,1
Aposentadoria Rural,Pedro Afonso,1
"Crédito Rural, Compra Direta (PAA), Fomento, Bolsa Família, Aposentadoria Rural",dois Irmãos do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Xambioá,1
Não,dois Irmãos do Tocantins,1
"Bolsa Família, Aposentadoria Rural",Aragominas,1
Não,Gurupi,1
Crédito Rural,Silvanópolis,1
Não,Fortaleza do Tabocão,1
"Crédito Rural, Bolsa Família",Xambioá,1
Crédito Rural,Barrolândia,1
"Crédito Rural, Compra Direta (PAA)",Monte Santo do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Divinópolis do Tocantins,1
Bolsa Família,Pium,1
Merenda Escolar (PENAE),Alvorada,1
Aposentadoria Rural,Rio Sono,1
Crédito Rural,Porto Nacional,1
Crédito Rural,Dianópolis,1
Aposentadoria Rural,Axixá do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Monte Santo do Tocantins,1
"Compra Direta (PAA), Bolsa Família",Xambioá,1
Crédito Rural,Aliança do Tocantins,1
Não,Fátima,1
"Crédito Rural, PENSÃO",Marianópolis do Tocantins,1
Merenda Escolar (PENAE),Santa Terezinha do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Paraíso do Tocantins,1
AUXILIO DOENÇA,Filadélfia,1
"Crédito Rural, Aposentadoria Rural",Cristalândia,1
"Compra Direta (PAA), Aposentadoria Rural",Babaçulândia,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Pedro Afonso,1
Bolsa Família,Dianópolis,1
Não,Piraquê,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",Santa Fé do Araguaia,1
"Fomento, Bolsa Família",Porto Alegre do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Dianópolis,1
"Crédito Rural, Aposentadoria Rural",Paranã,1
PENSÃO POR MORTE,Pium,1
Bolsa Família,Filadélfia,1
"Crédito Rural, Bolsa Família",Esperantina,1
Bpc filho deficiente,Xambioá,1
Não,Palmas,1
Crédito Rural,Silvanópolis,1
Crédito Rural,,1
"Crédito Rural, Aposentadoria Rural",Santa Terezinha do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Fomento, Aposentadoria Rural",Bandeirantes do Tocantins,1
"Compra Direta (PAA), Fomento",Cariri do Tocantins,1
Não,Miracema do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Araguanã,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Nova Olinda,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Dianópolis,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Luzinópolis,1
Não,Araguanã,1
"Compra Direta (PAA), CONAB",Palmeiras do Tocantins,1
Fomento,Chapada da Natividade,1
"Crédito Rural, Bolsa Família",Rio Sono,1
Não,Talismã,1
"Crédito Rural, Compra Direta (PAA)",Marianópolis do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Angico,1
"Crédito Rural, Compra Direta (PAA), Fomento, Aposentadoria Rural",Peixe,1
CAF,Porto Alegre do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Dianópolis,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",dois Irmãos do Tocantins,1
Não,Figueirópolis,1
"Compra Direta (PAA), Bolsa Família",Marianópolis do Tocantins,1
CID:H54.0,Tocantínia,1
Não,Miracema do Tocantins,1
Crédito Rural,Pium,1
Bolsa Família,Aragominas,1
"Crédito Rural, Bolsa Família",Aragominas,1
Aposentadoria Rural,Peixe,1
"Crédito Rural, Aposentadoria Rural",Fátima,1
Não,Talismã,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Itaporã do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Palmas,1
Aposentadoria Rural,Crixás do Tocantins,1
Merenda Escolar (PENAE),Monte Santo do Tocantins,1
Crédito Rural,Filadélfia,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Rio dos Bois,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Ponte Alta do Bom Jesus,1
"Bolsa Família, Aposentadoria Rural",Cristalândia,1
"Compra Direta (PAA), Bolsa Família",Rio Sono,1
Crédito Rural,Lagoa da Confusão,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Abreulândia,1
Não,Silvanópolis,1
Não,São Miguel do Tocantins,1
"Crédito Rural, Bolsa Família",Cristalândia,1
Crédito Rural,Xambioá,1
Aposentadoria Rural,Cristalândia,1
Não,Sítio Novo do Tocantins,1
Crédito Rural,Aliança do Tocantins,1
Aposentadoria Rural,Filadélfia,1
Crédito Rural,dois Irmãos do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Paranã,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Centenário,1
Não,Ananás,1
"Crédito Rural, Compra Direta (PAA)",Figueirópolis,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",São Miguel do Tocantins,1
"Crédito Rural,",Paranã,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Divinópolis do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Filadélfia,1
"Crédito Rural, Compra Direta (PAA)",Pugmil,1
Não,Rio da Conceição,1
Compra Direta (PAA),darcinópolis,1
Crédito Rural,Chapada de Areia,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Paranã,1
"Crédito Rural, Compra Direta (PAA)",Talismã,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Divinópolis do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Talismã,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Divinópolis do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Sítio Novo do Tocantins,1
Não,Bom Jesus do Tocantins,1
Fomento,Divinópolis do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Araguaína,1
Fomento,Araguaína,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Colméia,1
"Crédito Rural, Fomento",Divinópolis do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Pedro Afonso,1
"Crédito Rural, Fomento",Axixá do Tocantins,1
Crédito Rural,Cariri do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",dois Irmãos do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Filadélfia,1
"Crédito Rural, Bolsa Família",Ponte Alta do Bom Jesus,1
Crédito Rural,Santa Fé do Araguaia,1
Crédito Rural,Rio Sono,1
Aposentadoria Rural,Itaguatins,1
Não,Aguiarnópolis,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Caseara,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Palmeiras do Tocantins,1
Crédito Rural,Santa Fé do Araguaia,1
"Bolsa Família, Aposentadoria Rural",Pium,1
Não,Caseara,1
Bolsa Família,Dianópolis,1
"Crédito Rural, Aposentadoria Rural",dois Irmãos do Tocantins,1
Crédito Rural,Itaguatins,1
"Merenda Escolar (PENAE), Bolsa Família, SEGURO DEFESO",Palmeiras do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Araguanã,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Barrolândia,1
Não,Araguaçu,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Itaporã do Tocantins,1
Aposentadoria Rural,Dianópolis,1
"Compra Direta (PAA), Aposentadoria Rural",Caseara,1
Crédito Rural,Talismã,1
"Crédito Rural, Aposentadoria Rural",Silvanópolis,1
"Crédito Rural, Bolsa Família",Rio dos Bois,1
Bolsa Família,Cristalândia,1
Não,Sítio Novo do Tocantins,1
"Compra Direta (PAA), Bolsa Família",Xambioá,1
Merenda Escolar (PENAE),Colméia,1
Crédito Rural,Almas,1
"Crédito Rural, Fomento, Aposentadoria Rural",Xambioá,1
"Crédito Rural, Compra Direta (PAA)",Rio dos Bois,1
Aposentadoria Rural,Dianópolis,1
Bolsa Família,Cristalândia,1
Bolsa Família,Silvanópolis,1
Não,São Salvador do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Piraquê,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Palmeiras do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Tupirama,1
Crédito Rural,Divinópolis do Tocantins,1
Bolsa Família,Novo Jardim,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Araguatins,1
"Crédito Rural, Fomento",Miranorte,1
Não,Miracema do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Babaçulândia,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Paranã,1
"Compra Direta (PAA), Aposentadoria Rural",Aliança do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Santa Maria do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Muricilândia,1
"Compra Direta (PAA), Fomento, Bolsa Família",Ananás,1
"Crédito Rural, Merenda Escolar (PENAE)",Araguanã,1
PENSAO DOENÇA,Silvanópolis,1
Crédito Rural,Cachoeirinha,1
"Crédito Rural, Aposentadoria Rural",Novo Jardim,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Pugmil,1
Crédito Rural,Paraíso do Tocantins,1
Aposentadoria Rural,Caseara,1
"Crédito Rural, Fomento",Axixá do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Rio da Conceição,1
Merenda Escolar (PENAE),Pium,1
"Crédito Rural, Compra Direta (PAA)",Figueirópolis,1
Crédito Rural,Axixá do Tocantins,1
Bolsa Família,Monte do Carmo,1
Bolsa Família,Monte Santo do Tocantins,1
Bolsa Família,Filadélfia,1
Bolsa Família,São Bento do Tocantins,1
Fomento,Cariri do Tocantins,1
Compra Direta (PAA),Babaçulândia,1
Fomento Tocantins,Filadélfia,1
Bolsa Família,Muricilândia,1
Não,Cristalândia,1
Aposentadoria Rural,Cariri do Tocantins,1
Bolsa Família,Piraquê,1
Compra Direta (PAA),Nova Rosalândia,1
Bolsa Família,Dianópolis,1
"Compra Direta (PAA), Fomento",Araguaína,1
"Compra Direta (PAA), Bolsa Família",Piraquê,1
"Crédito Rural, Aposentadoria Rural",Cariri do Tocantins,1
Aposentadoria Rural,Angico,1
Crédito Rural,Rio da Conceição,1
Não,Babaçulândia,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",São Bento do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Rio da Conceição,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Silvanópolis,1
"Crédito Rural, Fomento, Bolsa Família",Filadélfia,1
Crédito Rural,Axixá do Tocantins,1
Crédito Rural,Wanderlândia,1
Não,Praia Norte,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Fortaleza do Tabocão,1
"Compra Direta (PAA), Fomento, Bolsa Família",Rio dos Bois,1
"Crédito Rural, Aposentadoria Rural",Riachinho,1
"Crédito Rural, Bolsa Família, Aposentadoria Rural",Bandeirantes do Tocantins,1
Bolsa Família,Paranã,1
Aposentadoria Rural,Rio Sono,1
"Crédito Rural, Compra Direta (PAA), Bolsa Família",Novo Acordo,1
"Crédito Rural, Fomento",Axixá do Tocantins,1
Merenda Escolar (PENAE),Santa Terezinha do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Dianópolis,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Dianópolis,1
"Compra Direta (PAA), Bolsa Família",São Miguel do Tocantins,1
"Compra Direta (PAA), Aposentadoria Rural",Chapada da Natividade,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Gurupi,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Dianópolis,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família, Aposentadoria Rural",Ipueiras,1
"Crédito Rural, Fomento",Rio dos Bois,1
"Crédito Rural, Fomento, Bolsa Família",Porto Alegre do Tocantins,1
Bolsa Família,Porto Alegre do Tocantins,1
"Crédito Rural, Merenda Escolar (PENAE)",Pium,1
"Crédito Rural, Compra Direta (PAA)",Araguaçu,1
Bolsa Família,Nova Olinda,1
"Compra Direta (PAA), Fomento",Santa Maria do Tocantins,1
"Crédito Rural, Fomento, PNCF",Novo Jardim,1
Aposentadoria Rural,dois Irmãos do Tocantins,1
Não,Riachinho,1
Bolsa Família,Sucupira,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Figueirópolis,1
"Crédito Rural, Bolsa Família, Aposentadoria Rural",Araguaçu,1
Não,Sítio Novo do Tocantins,1
Compra Direta (PAA),Tupirama,1
Crédito Rural,Figueirópolis,1
"Crédito Rural, Compra Direta (PAA)",Araguatins,1
"Crédito Rural, Aposentadoria Rural",Miranorte,1
"Crédito Rural, Bolsa Família",,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Paraíso do Tocantins,1
"Fomento, Aposentadoria Rural",Paranã,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",Nova Rosalândia,1
"Crédito Rural, Compra Direta (PAA)",Peixe,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Santa Maria do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",dois Irmãos do Tocantins,1
Não,Porto Nacional,1
CREDITO FUNDIÁRIO,Marianópolis do Tocantins,1
CAF,Monte do Carmo,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Paraíso do Tocantins,1
Não,Alvorada,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",Pedro Afonso,1
Bolsa Família,Chapada da Natividade,1
"Crédito Rural, Bolsa Família",dois Irmãos do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Pium,1
Aposentadoria Rural,dois Irmãos do Tocantins,1
Não,Pedro Afonso,1
Não,Barrolândia,1
"Compra Direta (PAA), Merenda Escolar (PENAE), BENEFICIO POR INVALIDEZ",Miranorte,1
Não,Filadélfia,1
Não,Luzinópolis,1
Crédito Rural,Miracema do Tocantins,1
Compra Direta (PAA),Nova Olinda,1
Oportunidade,darcinópolis,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",dois Irmãos do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Araguaína,1
OUTROS,Chapada da Natividade,1
"Compra Direta (PAA), Bolsa Família",Araguatins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",darcinópolis,1
Não,Porto Nacional,1
Fomento,Axixá do Tocantins,1
"Crédito Rural, Bolsa Família",Almas,1
"Aposentadoria Rural, Tarifa Social",Dianópolis,1
"Crédito Rural, Merenda Escolar (PENAE), Aposentadoria Rural",Couto Magalhães,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família, Aposentadoria Rural",Pedro Afonso,1
Não,Silvanópolis,1
Aposentadoria Rural,Barrolândia,1
Bolsa Família,Palmas,1
Crédito Rural,Silvanópolis,1
"Merenda Escolar (PENAE), Bolsa Família",Araguaína,1
"Crédito Rural, Compra Direta (PAA), Bolsa Família",Xambioá,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Talismã,1
"Merenda Escolar (PENAE), Bolsa Família",Tocantínia,1
Bolsa Família,Esperantina,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",Nova Rosalândia,1
Não,Cristalândia,1
Crédito Rural,Palmeiras do Tocantins,1
Aposentadoria Rural,Araguaína,1
Não,Jaú do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Luzinópolis,1
Crédito Rural,Cachoeirinha,1
Bolsa Família,Marianópolis do Tocantins,1
Não,Miracema do Tocantins,1
