atividade_produtiva,municipio_ibge,count
Mandiocultura,Axixá do Tocantins,2
Olericultura,Divinópolis do Tocantins,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Pium,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",Nova Rosalândia,2
"Avicultura, Mandiocultura, Extrativismo Vegetal",Chapada de Areia,2
"Bovinocultura de corte, Avicultura, Suinocultura",Miranorte,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",Piraquê,2
"Bovinocultura de corte, Fruticultura",Peixe,2
"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",Wanderlândia,2
Extrativismo Vegetal,Caseara,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura",São Salvador do Tocantins,2
Mandiocultura,Barrolândia,2
Bovinocultura de corte,Rio Sono,2
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",Paraíso do Tocantins,2
Bovinocultura de corte,Palmeiras do Tocantins,2
"Bovinocultura de corte, Avicultura",Pium,2
"Bovinocultura de Leite, Avicultura",Tocantínia,2
Bovinocultura de Leite,Miranorte,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",Chapada de Areia,2
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Miranorte,2
"Bovinocultura de Leite, Mandiocultura",Xambioá,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",Palmas,2
"Bovinocultura de corte, Avicultura, Suinocultura",Cristalândia,2
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",Riachinho,2
"Avicultura, Mandiocultura, Culturas Anuais",Sítio Novo do Tocantins,2
Bovinocultura de Leite,Miranorte,2
Fruticultura,Rio dos Bois,2
Bovinocultura de corte,Palmeiras do Tocantins,2
"Bovinocultura de Leite, Olericultura",Xambioá,2
"Avicultura, Mandiocultura",Palmas,2
Bovinocultura de corte,Miranorte,2
Fruticultura,Rio Sono,2
Fruticultura,Pedro Afonso,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Araguaína,2
"Bovinocultura de Leite, Avicultura",Filadélfia,2
"Bovinocultura de corte, Avicultura, Suinocultura",Sucupira,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Araguaína,2
Bovinocultura de corte,Miranorte,2
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",Miranorte,2
"Avicultura, Suinocultura, Mandiocultura",Gurupi,1
Bovinocultura de corte,Miracema do Tocantins,1
"Bovinocultura de corte, Avicultura, Pisicultura",Monte Santo do Tocantins,1
"Bovinocultura de Leite, Avicultura, Olericultura",Dueré,1
"Bovinocultura de corte, Ovinocaprinocultura, Mandiocultura",Silvanópolis,1
"Avicultura, Suinocultura",Miranorte,1
"Bovinocultura de corte, Avicultura",Miracema do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Olericultura",Axixá do Tocantins,1
"Bovinocultura de Leite, Avicultura",Divinópolis do Tocantins,1
"Bovinocultura de Leite, Avicultura",Pium,1
"Bovinocultura de Leite, Avicultura",Filadélfia,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",Novo Jardim,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",Araguanã,1
"Bovinocultura de corte, Avicultura, Extrativismo Vegetal",Pium,1
"Bovinocultura de Leite, Avicultura",Wanderlândia,1
"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",Miracema do Tocantins,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura",Marianópolis do Tocantins,1
"Bovinocultura de Leite, Avicultura",Araguanã,1
"Bovinocultura de Leite, Avicultura",Miracema do Tocantins,1
Bovinocultura de corte,Divinópolis do Tocantins,1
"Avicultura, Mandiocultura, quiabo",Peixe,1
"Avicultura, Ovinocaprinocultura",Gurupi,1
"Ovinocaprinocultura, Mandiocultura, Culturas Anuais",Babaçulândia,1
"Bovinocultura de corte, Mandiocultura, Olericultura",Rio Sono,1
"Mandiocultura, Culturas Anuais",Rio dos Bois,1
"Bovinocultura de corte, Apicultura/meliponicultura",Miracema do Tocantins,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Figueirópolis,1
"Mandiocultura, Culturas Anuais",Wanderlândia,1
"Mandiocultura, Culturas Anuais",Nova Rosalândia,1
Sem atividade produtiva ainda,Silvanópolis,1
"Olericultura, Culturas Anuais",Riachinho,1
"Mandiocultura, Olericultura",Peixe,1
"Mandiocultura, Olericultura",darcinópolis,1
