atividade_produtiva,municipio_ibge,count
"Bovinocultura de corte, Bovinocultura de Leite",Guaraí,1
"Bovinocultura de corte, Mandiocultura, Fruticultura, Olericultura",Chapada de Areia,1
"Apicultura/meliponicultura, Mandiocultura, Cana",Araguaçu,1
"Bovinocultura de Leite, Avicultura, Pisicultura",Alvorada,1
Fruticultura,Miranorte,1
"Bovinocultura de corte, Avicultura, Suinocultura, Culturas Anuais",Ananás,1
"Bovinocultura de corte, Avicultura",Monte Santo do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",Nova Olinda,1
Bovinocultura de corte,Miranorte,1
Fruticultura,Tocantínia,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Culturas Anuais",Riachinho,1
VIVEIRO DE MUDAS,Porto Nacional,1
Apicultura/meliponicultura,Esperantina,1
"Avicultura, Pisicultura",Bom Jesus do Tocantins,1
"Bovinocultura de corte, Avicultura, Olericultura",Nova Rosalândia,1
"Avicultura, Mandiocultura",Araguaína,1
"Bovinocultura de corte, Avicultura, Olericultura",Gurupi,1
"Fruticultura, Olericultura",Rio da Conceição,1
"Bovinocultura de corte, Avicultura, Suinocultura",Alvorada,1
"Bovinocultura de corte, Avicultura, Suinocultura",Ipueiras,1
"Bovinocultura de Leite, Fruticultura",Rio Sono,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",Caseara,1
"Bovinocultura de corte, Avicultura",Goiatins,1
Mandiocultura,Axixá do Tocantins,1
"Bovinocultura de corte, Mandiocultura",Rio Sono,1
"Bovinocultura de corte, Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",Araguatins,1
"Bovinocultura de corte, Avicultura, Suinocultura",Araguaçu,1
"Avicultura, Mandiocultura, Fruticultura",Tocantínia,1
"Avicultura, Mandiocultura, Fruticultura",Aurora do Tocantins,1
"Avicultura, Suinocultura, Fruticultura",Miranorte,1
"Bovinocultura de corte, Avicultura, Suinocultura",Caseara,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Dianópolis,1
"Bovinocultura de corte, Avicultura, Suinocultura",Dueré,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",Paraíso do Tocantins,1
"Avicultura, Olericultura, Extrativismo Vegetal",Paraíso do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura",Marianópolis do Tocantins,1
"Bovinocultura de corte, Avicultura, Fruticultura",Divinópolis do Tocantins,1
"Fruticultura, Olericultura, Culturas Anuais",Palmeiras do Tocantins,1
"Avicultura, Fruticultura, Extrativismo Vegetal",Pedro Afonso,1
"Bovinocultura de Leite, Avicultura, Olericultura",Filadélfia,1
"Bovinocultura de corte, Avicultura, Mandiocultura",dois Irmãos do Tocantins,1
"Bovinocultura de corte, Avicultura",Cristalândia,1
"Bovinocultura de corte, Fruticultura, Olericultura",Colméia,1
"Bovinocultura de Leite, Avicultura, Mandiocultura",Miranorte,1
"Avicultura, Culturas Anuais, Extrativismo Vegetal",Monte do Carmo,1
"Mandiocultura, Fruticultura, Extrativismo Vegetal",Caseara,1
"Bovinocultura de Leite, Avicultura, Mandiocultura",Palmeirópolis,1
"Bovinocultura de corte, Avicultura",Cristalândia,1
"Bovinocultura de Leite, Pisicultura, Culturas Anuais",Palmeiras do Tocantins,1
"Bovinocultura de Leite, Avicultura, Culturas Anuais",Filadélfia,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura",Caseara,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Monte Santo do Tocantins,1
"Avicultura, Fruticultura, Olericultura, Culturas Anuais",darcinópolis,1
"Avicultura, Pisicultura, Mandiocultura, Olericultura",Paraíso do Tocantins,1
"Avicultura, Mandiocultura, Fruticultura, Olericultura",Nova Rosalândia,1
"Pisicultura, Mandiocultura, Fruticultura, Olericultura",Palmeiras do Tocantins,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Pium,1
"Avicultura, Suinocultura, Fruticultura, Culturas Anuais",Crixás do Tocantins,1
"Bovinocultura de corte, Avicultura, Mandiocultura",dois Irmãos do Tocantins,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Miranorte,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Cristalândia,1
"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",Pedro Afonso,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Pium,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Milho",Araguanã,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Ipueiras,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",Ipueiras,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Rio Sono,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Rio dos Bois,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Marianópolis do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura",Dianópolis,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura",Rio dos Bois,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",Ananás,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Paranã,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura",Cristalândia,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",Pium,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura",Paraíso do Tocantins,1
"Avicultura, Suinocultura, Pisicultura, Olericultura",Itaguatins,1
"Bovinocultura de corte, Mandiocultura, Extrativismo Vegetal, Cupuaçu",dois Irmãos do Tocantins,1
"Bovinocultura de corte, Avicultura, Culturas Anuais",Filadélfia,1
"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",Tupirama,1
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Olericultura",Nova Olinda,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",Santa Maria do Tocantins,1
"Bovinocultura de corte, Avicultura, Culturas Anuais",Paranã,1
"Bovinocultura de corte, Mandiocultura, Olericultura",Figueirópolis,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Santa Terezinha do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",Silvanópolis,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Ananás,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Olericultura",Araguanã,1
"Avicultura, Pisicultura, Mandiocultura, Olericultura",Wanderlândia,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Santa Fé do Araguaia,1
"Avicultura, Mandiocultura, Fruticultura, Olericultura",Angico,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura",Babaçulândia,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura",Carmolândia,1
"Bovinocultura de corte, Apicultura/meliponicultura, Pisicultura, Culturas Anuais",Pugmil,1
"Bovinocultura de corte, Olericultura, Culturas Anuais",Cristalândia,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura, Culturas Anuais",dois Irmãos do Tocantins,1
"Bovinocultura de corte, Mandiocultura, Culturas Anuais",Porto Alegre do Tocantins,1
"Bovinocultura de corte, Mandiocultura, Fruticultura, Olericultura, Extrativismo Vegetal",Dianópolis,1
"Avicultura, Fruticultura, Olericultura, Culturas Anuais",Luzinópolis,1
"Avicultura, Suinocultura, Olericultura, Culturas Anuais",Araguaçu,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura",Almas,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",Bandeirantes do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Ovinocaprinocultura, Fruticultura",Muricilândia,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",Dianópolis,1
"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",Xambioá,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",Axixá do Tocantins,1
"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Monte do Carmo,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",Pium,1
"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Araguaína,1
"Bovinocultura de corte, Bovinocultura de Leite, Apicultura/meliponicultura, Mandiocultura, Fruticultura, Culturas Anuais",,1
"Bovinocultura de Leite, Pisicultura, Mandiocultura, Milho",Araguanã,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Dianópolis,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",Jaú do Tocantins,1
"Bovinocultura de corte, Avicultura",Gurupi,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",Muricilândia,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",Marianópolis do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",Cachoeirinha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Fruticultura",Axixá do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura",Fátima,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura, Olericultura, Culturas Anuais",Araguaína,1
"Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal",Pium,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",Santa Terezinha do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura",dois Irmãos do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura",Miranorte,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura",Aliança do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",Piraquê,1
"Bovinocultura de corte, Mandiocultura",Rio Sono,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",Dianópolis,1
Bovinocultura de Leite,Sítio Novo do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, silvicultura",Monte Santo do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Xambioá,1
"Bovinocultura de corte, Mandiocultura",Pedro Afonso,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",Sítio Novo do Tocantins,1
"Avicultura, Suinocultura, Olericultura",Araguatins,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Miracema do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Araguaína,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Dianópolis,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Santa Rita do Tocantins,1
"Avicultura, Pisicultura, Mandiocultura",Pedro Afonso,1
"Avicultura, Apicultura/meliponicultura",Porto Nacional,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Porto Alegre do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Ovinocaprinocultura",Santa Fé do Araguaia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Caseara,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Paraíso do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Cariri do Tocantins,1
"Bovinocultura de corte, Mandiocultura",Divinópolis do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Filadélfia,1
Bovinocultura de corte,Nova Rosalândia,1
Bovinocultura de corte,Pium,1
Olericultura,Barrolândia,1
Mandiocultura,Tupirama,1
Olericultura,São Miguel do Tocantins,1
Bovinocultura de Leite,Miracema do Tocantins,1
Bovinocultura de corte,Monte Santo do Tocantins,1
"Bovinocultura de corte, Mandiocultura",Rio dos Bois,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",Paranã,1
Bovinocultura de corte,Divinópolis do Tocantins,1
Bovinocultura de corte,Barrolândia,1
Bovinocultura de Leite,Lajeado,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura",Aliança do Tocantins,1
Bovinocultura de corte,Porto Alegre do Tocantins,1
"Avicultura, Suinocultura, Olericultura",Filadélfia,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",Lagoa da Confusão,1
Fruticultura,Tupirama,1
Mandiocultura,Bom Jesus do Tocantins,1
"Mandiocultura, Culturas Anuais",São Miguel do Tocantins,1
Olericultura,Porto Nacional,1
Bovinocultura de Leite,Paraíso do Tocantins,1
"Mandiocultura, Culturas Anuais",Almas,1
Bovinocultura de corte,Barrolândia,1
"Avicultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura",Guaraí,1
Bovinocultura de corte,Barrolândia,1
Avicultura,Talismã,1
Bovinocultura de corte,Peixe,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",Nova Olinda,1
"Avicultura, Mandiocultura, Olericultura",Palmas,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Pisicultura, Mandiocultura",Santa Fé do Araguaia,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",Palmeiras do Tocantins,1
"Avicultura, Mandiocultura, Olericultura",Almas,1
Bovinocultura de corte,Peixe,1
Olericultura,Carmolândia,1
Mandiocultura,Gurupi,1
Bovinocultura de corte,Colméia,1
"Avicultura, Mandiocultura, Olericultura",Paraíso do Tocantins,1
Bovinocultura de corte,Cariri do Tocantins,1
"Avicultura, Suinocultura",Pium,1
"Bovinocultura de corte, Avicultura, Apicultura/meliponicultura, Cana -de-açucar",Filadélfia,1
Bovinocultura de corte,Couto Magalhães,1
"Bovinocultura de Leite, Avicultura",Sucupira,1
"Avicultura, Suinocultura, Mandiocultura",Ananás,1
Olericultura,Monte Santo do Tocantins,1
"Bovinocultura de Leite, Culturas Anuais",Axixá do Tocantins,1
Avicultura,Rio Sono,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Olericultura",Colméia,1
Fruticultura,Miranorte,1
Bovinocultura de corte,Talismã,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura",Rio Sono,1
"Avicultura, Pisicultura",Aragominas,1
"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura, Culturas Anuais",Axixá do Tocantins,1
"Avicultura, Pisicultura",dois Irmãos do Tocantins,1
"Bovinocultura de corte, Culturas Anuais",Lagoa da Confusão,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura",Cristalândia,1
"Apicultura/meliponicultura, Olericultura",darcinópolis,1
"Bovinocultura de Leite, Avicultura",Gurupi,1
"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura, Culturas Anuais",Axixá do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",Pium,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Olericultura",Colméia,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura",Paranã,1
"Bovinocultura de corte, Apicultura/meliponicultura, Mandiocultura, Olericultura",Figueirópolis,1
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Culturas Anuais",Rio da Conceição,1
"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura, Culturas Anuais",Marianópolis do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura, Mandiocultura",Silvanópolis,1
"Avicultura, Pisicultura",Pium,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Fruticultura",Riachinho,1
"Bovinocultura de corte, Avicultura",Miracema do Tocantins,1
Mandiocultura,Paranã,1
Pisicultura,Xambioá,1
Avicultura,Caseara,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Miracema do Tocantins,1
"Bovinocultura de corte, Avicultura, Pisicultura, Mandiocultura, Olericultura",Marianópolis do Tocantins,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura, Mandiocultura",Paraíso do Tocantins,1
"Suinocultura, Pisicultura, Mandiocultura",São Miguel do Tocantins,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura, Culturas Anuais",Barrolândia,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura, Culturas Anuais",São Salvador do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Monte do Carmo,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Cristalândia,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Miracema do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Paranã,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Araguaçu,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais, CANA DE AÇUCAR",Crixás do Tocantins,1
"Avicultura, Apicultura/meliponicultura, Mandiocultura, Fruticultura, Culturas Anuais",Babaçulândia,1
"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura",Guaraí,1
"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura",Guaraí,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Olericultura, Extrativismo Vegetal",Dianópolis,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Pisicultura, Culturas Anuais",Marianópolis do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura",Monte Santo do Tocantins,1
"Avicultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura",Guaraí,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",dois Irmãos do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",Caseara,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Pisicultura",Chapada de Areia,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Mandiocultura",Divinópolis do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Mandiocultura, Cana-de-Açucar",Araguaçu,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",Carmolândia,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Extrativismo Vegetal",Nova Olinda,1
Bovinocultura de corte,Axixá do Tocantins,1
"Avicultura, Pisicultura",Dianópolis,1
Olericultura,Aguiarnópolis,1
Olericultura,Nova Rosalândia,1
Mandiocultura,Axixá do Tocantins,1
Bovinocultura de corte,Araguaína,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",Nova Olinda,1
"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",Paraíso do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Culturas Anuais",Luzinópolis,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",Fátima,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Ovinocaprinocultura, Culturas Anuais",Wanderlândia,1
"Bovinocultura de corte, Avicultura, Pisicultura",Silvanópolis,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",Santa Maria do Tocantins,1
"Bovinocultura de corte, Avicultura",Paranã,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura, Olericultura",Araguaína,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais, Extrativismo Vegetal",Aurora do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Olericultura, Culturas Anuais",Luzinópolis,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",Dianópolis,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Pedro Afonso,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",Piraquê,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Miranorte,1
"Avicultura, Suinocultura, Apicultura/meliponicultura, Mandiocultura",Gurupi,1
"Bovinocultura de corte, Avicultura",Dianópolis,1
Bovinocultura de corte,São Bento do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Goiatins,1
"Bovinocultura de corte, Avicultura",Peixe,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Dianópolis,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",Miranorte,1
"Avicultura, Fruticultura",Aurora do Tocantins,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Paranã,1
"Bovinocultura de corte, Avicultura",Rio Sono,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Extrativismo Vegetal",Santa Fé do Araguaia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Wanderlândia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Pedro Afonso,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Nova Olinda,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",Riachinho,1
"Bovinocultura de corte, Avicultura",Guaraí,1
"Avicultura, Olericultura, Culturas Anuais",Palmeiras do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Xambioá,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Pium,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Miranorte,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Marianópolis do Tocantins,1
"Bovinocultura de corte, Avicultura",Dianópolis,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Aliança do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Paranã,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura",Xambioá,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura",Almas,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Culturas Anuais",Tupirama,1
"Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Marianópolis do Tocantins,1
Mandiocultura,Abreulândia,1
"Olericultura, Extrativismo Vegetal",Xambioá,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Rio dos Bois,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Miranorte,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Paraíso do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Olericultura",Marianópolis do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",Barrolândia,1
"Olericultura, Extrativismo Vegetal",São Miguel do Tocantins,1
"Avicultura, Olericultura, Culturas Anuais",Fortaleza do Tabocão,1
Bovinocultura de Leite,Xambioá,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Lagoa da Confusão,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Lagoa da Confusão,1
"Bovinocultura de corte, Avicultura",Almas,1
Bovinocultura de corte,Santa Rita do Tocantins,1
Mandiocultura,Palmeiras do Tocantins,1
Olericultura,Araguaína,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",Crixás do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",Fortaleza do Tabocão,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",Gurupi,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",Monte Santo do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",Esperantina,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Araguaína,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Apicultura/meliponicultura",Filadélfia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Culturas Anuais",Piraquê,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Ipueiras,1
"Bovinocultura de corte, Avicultura",Luzinópolis,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",Santa Terezinha do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",Centenário,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",Ananás,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Culturas Anuais",Babaçulândia,1
"Bovinocultura de Leite, Pisicultura",Chapada de Areia,1
