,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens
136,1703883.0,Carmolândia,Araguaina,Não possui degradação
137,1707009.0,Dianópolis,Taguatinga,
138,1718881.0,Santa Maria do Tocantins,Miracema,
139,1716109.0,Paraíso do Tocantins,Paraiso,
140,1716208.0,Paranã,Taguatinga,
141,1716109.0,Paraíso do Tocantins,Paraiso,
142,1717206.0,Piraquê,Araguaina,Não possui degradação
143,1714880.0,Nova Olinda,Araguaina,
144,1714880.0,Nova Olinda,Araguaina,
145,1718204.0,Porto Nacional,Porto,
146,1702208.0,Araguatins,Araguatins,
147,1707702.0,Filadélfia,Araguaina,
148,1702000.0,Araguaçu,Gurupi,
149,1712504.0,Marianópolis do Tocantins,Paraiso,
150,1722107.0,Xambioá,Araguaina,
151,1713809.0,Palmeiras do Tocantins,Araguatins,
152,1710706.0,Itaguatins,Araguatins,
153,1713205.0,Miracema do Tocantins,Miracema,Pouco degradado
154,1721109.0,Tocantínia,Miracema,Pouco degradado
155,1700350.0,Aliança do Tocantins,Gurupi,Pouco degradado
156,1721000.0,Palmas,Porto,Pouco degradado
157,1702901.0,Axixá do Tocantins,Araguatins,Degradação Média
158,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
159,1701309.0,Aragominas,Araguaina,Não possui degradação
160,1702158.0,Araguanã,Araguaina,Degradação Média
161,1716109.0,Paraíso do Tocantins,Paraiso,Pouco degradado
162,1712504.0,Marianópolis do Tocantins,Paraiso,
163,1713304.0,Miranorte,Miracema,Não possui degradação
164,1711506.0,Jaú do Tocantins,Gurupi,Pouco degradado
165,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
166,1702158.0,Araguanã,Araguaina,Pouco degradado
167,1713304.0,Miranorte,Miracema,Não possui degradação
168,1702901.0,Axixá do Tocantins,Araguatins,Não possui degradação
169,1720804.0,Sítio Novo do Tocantins,Araguatins,Degradação Média
170,1703909.0,Caseara,Paraiso,Não possui degradação
171,1702901.0,Axixá do Tocantins,Araguatins,Não possui degradação
172,1711506.0,Jaú do Tocantins,Gurupi,Pouco degradado
173,1713304.0,Miranorte,Miracema,Não possui degradação
174,1702158.0,Araguanã,Araguaina,Pouco degradado
175,1713304.0,Miranorte,Miracema,Não possui degradação
176,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
177,1709302.0,Guaraí,Colinas,Pouco degradado
178,1707702.0,Filadélfia,Araguaina,Degradação Média
179,1709302.0,Guaraí,Colinas,Não possui degradação
180,1722107.0,Xambioá,Araguaina,Pouco degradado
181,1713809.0,Palmeiras do Tocantins,Araguatins,Não possui degradação
182,1722107.0,Xambioá,Araguaina,Degradação Média
183,1700350.0,Aliança do Tocantins,Gurupi,Degradação Média
184,1722107.0,Xambioá,Araguaina,Degradação Média
185,1722107.0,Xambioá,Araguaina,Pouco degradado
186,1722107.0,Xambioá,Araguaina,Degradação Média
187,1710706.0,Itaguatins,Araguatins,Pouco degradado
188,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
189,1711506.0,Jaú do Tocantins,Gurupi,Degradação Média
190,1709302.0,Guaraí,Colinas,Não possui degradação
191,1715754.0,Palmeirópolis,Gurupi,Pouco degradado
192,1701309.0,Aragominas,Araguaina,Degradação Média
193,1712009.0,Lajeado,Porto,Não possui degradação
194,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
195,1711506.0,Jaú do Tocantins,Gurupi,Degradação Média
196,1721109.0,Tocantínia,Miracema,Pouco degradado
197,1722081.0,Wanderlândia,Araguaina,Pouco degradado
198,1707702.0,Filadélfia,Araguaina,Pouco degradado
199,1720853.0,Sucupira,Gurupi,Pouco degradado
200,1713304.0,Miranorte,Miracema,Não possui degradação
201,1717206.0,Piraquê,Araguaina,Pouco degradado
202,1702109.0,Araguaína,Araguaina,Pouco degradado
203,1717206.0,Piraquê,Araguaina,Pouco degradado
204,1707108.0,Divinópolis do Tocantins,Paraiso,Degradação Média
205,1713304.0,Miranorte,Miracema,Não possui degradação
206,1721109.0,Tocantínia,Miracema,Pouco degradado
