,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,degradacao_ord
119,1706100.0,Cristalândia,Paraiso,nan,
120,1717503.0,Pium,Paraiso,nan,
121,1721000.0,Palmas,Porto,nan,
122,1707405.0,Esperantina,Araguatins,nan,
123,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
124,1709500.0,Gurupi,Gurupi,nan,
125,1701002.0,Ananás,Araguatins,nan,
126,1713304.0,Miranorte,Miracema,nan,
127,1713601.0,Monte do Carmo,Porto,nan,
128,1700400.0,Almas,Taguatinga,nan,
129,1709500.0,Gurupi,Gurupi,nan,
130,1713601.0,Monte do Carmo,Porto,nan,
131,1702109.0,Araguaína,Araguaina,nan,
132,1701051.0,Angico,Araguatins,nan,
133,1717503.0,Pium,Paraiso,nan,
134,1714880.0,Nova Olinda,Araguaina,nan,
135,1703008.0,Babaçulândia,Araguaina,nan,
136,1703883.0,Carmolândia,Araguaina,nao possui degradacao,0.0
137,1707009.0,Dianópolis,Taguatinga,nan,
138,1718881.0,Santa Maria do Tocantins,Miracema,nan,
139,1716109.0,Paraíso do Tocantins,Paraiso,nan,
140,1716208.0,Paranã,Taguatinga,nan,
141,1716109.0,Paraíso do Tocantins,Paraiso,nan,
142,1717206.0,Piraquê,Araguaina,nao possui degradacao,0.0
143,1714880.0,Nova Olinda,Araguaina,nan,
144,1714880.0,Nova Olinda,Araguaina,nan,
145,1718204.0,Porto Nacional,Porto,nan,
146,1702208.0,Araguatins,Araguatins,nan,
147,1707702.0,Filadélfia,Araguaina,nan,
148,1702000.0,Araguaçu,Gurupi,nan,
149,1712504.0,Marianópolis do Tocantins,Paraiso,nan,
150,1722107.0,Xambioá,Araguaina,nan,
151,1713809.0,Palmeiras do Tocantins,Araguatins,nan,
152,1710706.0,Itaguatins,Araguatins,nan,
153,1713205.0,Miracema do Tocantins,Miracema,pouco degradado,1.0
154,1721109.0,Tocantínia,Miracema,pouco degradado,1.0
155,1700350.0,Aliança do Tocantins,Gurupi,pouco degradado,1.0
156,1721000.0,Palmas,Porto,pouco degradado,1.0
157,1702901.0,Axixá do Tocantins,Araguatins,degradacao media,2.0
158,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
159,1701309.0,Aragominas,Araguaina,nao possui degradacao,0.0
160,1702158.0,Araguanã,Araguaina,degradacao media,2.0
161,1716109.0,Paraíso do Tocantins,Paraiso,pouco degradado,1.0
162,1712504.0,Marianópolis do Tocantins,Paraiso,nan,
163,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
164,1711506.0,Jaú do Tocantins,Gurupi,pouco degradado,1.0
165,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
166,1702158.0,Araguanã,Araguaina,pouco degradado,1.0
167,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
168,1702901.0,Axixá do Tocantins,Araguatins,nao possui degradacao,0.0
169,1720804.0,Sítio Novo do Tocantins,Araguatins,degradacao media,2.0
170,1703909.0,Caseara,Paraiso,nao possui degradacao,0.0
171,1702901.0,Axixá do Tocantins,Araguatins,nao possui degradacao,0.0
172,1711506.0,Jaú do Tocantins,Gurupi,pouco degradado,1.0
173,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
