uso_de_praticas_convencionais,area_da_propriedade__hectares__,regional_,count
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",50 - 100 ha,Gurupi,3
Pastagem nativa,20 - 50 ha,Paraiso,3
Aração e gradagem,10 - 20 ha,Porto,3
"Plantio convencional, Aração e gradagem",50 - 100 ha,Gurupi,3
"Plantio convencional, Uso de agrotóxicos",50 - 100 ha,Paraiso,3
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",10 - 20 ha,Araguaina,3
"Plantio convencional, Aração e gradagem, Pastagem nativa",20 - 50 ha,Paraiso,3
Plantio convencional,1 - 5 ha,Gurupi,3
"Aração e gradagem, Uso de agrotóxicos",1 - 5 ha,Araguaina,3
Plantio convencional,20 - 50 ha,Taguatinga,3
"Roça de toco, Plantio convencional",20 - 50 ha,Miracema,3
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",5 - 10 ha,Porto,3
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",5 - 10 ha,Paraiso,3
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",10 - 20 ha,Araguaina,3
Pastagem nativa,50 - 100 ha,Paraiso,3
"Aração e gradagem, Uso de agrotóxicos",50 - 100 ha,Colinas,3
Roça de toco,20 - 50 ha,Taguatinga,3
"Roça de toco, Aração e gradagem",20 - 50 ha,Miracema,3
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",20 - 50 ha,Araguaina,3
Plantio convencional,20 - 50 ha,Araguatins,3
Roça de toco,20 - 50 ha,Porto,3
Plantio convencional,20 - 50 ha,Porto,3
"Aração e gradagem, Uso de agrotóxicos",50 - 100 ha,Paraiso,3
"Plantio convencional, Aração e gradagem",10 - 20 ha,Taguatinga,3
Uso de agrotóxicos,50 - 100 ha,Miracema,3
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",20 - 50 ha,Porto,3
"Roça de toco, Plantio convencional",1 - 5 ha,Paraiso,3
"Plantio convencional, Aração e gradagem",20 - 50 ha,Miracema,3
