,coef,se,pval,odds
dim1,1.076277610849077e-08,0.15968220024125945,0.9999999462216022,1.000000010762776
n_praticas,-0.04203536031291435,1.5365868279405817,0.9781755371306867,0.9588358752364545
0/1,-0.8289409471315381,1.5359007147493093,0.5893970549360393,0.436511330190262
1/2,0.5046134509637873,0.044622052987170986,1.189573973394443e-29,1.6563451380824676
2/3,0.8366365235507924,0.06766591602040055,4.0813511070368054e-35,2.3085890188288154
