municipio_ibge,atividade_produtiva,total_respostas,regional
Araguaçu,Cana-de-açucar,1,Gurupi
Araguaçu,Culturas anuais,4,Gurupi
Araguaçu,Fruticultura,1,Gurupi
Araguaçu,Leite) -,1,Gurupi
Araguaçu,Mandiocultura,3,Gurupi
Araguaçu,Meliponicultura,1,Gurupi
Araguaçu,Olericultura,1,Gurupi
Araguaçu,Principais produtos comercializados - bezerros,1,Gurupi
Araguaçu,Suinocultura,5,Gurupi
Araguaçu,Vaca - cruzada,1,Gurupi
Araguaína,Apicultura,1,Araguína
Araguaína,Avicultura,30,Araguína
Araguaína,Bovinocultura de corte,16,Araguína
Araguaína,Bovinocultura de leite,7,Araguína
Araguaína,Bovinocultura mista (touro - com características de corte,9,Araguína
Araguaína,Culturas anuais,18,Araguína
Araguaína,Extrativismo vegetal,1,Araguína
Araguaína,Fruticultura,18,Araguína
Araguaína,Horticultura,1,Araguína
Araguaína,Leite) -,9,Araguína
Araguaína,Mandiocultura,20,Araguína
Araguaína,Meliponicultura,1,Araguína
Araguaína,Olericultura,12,Araguína
Araguaína,Ovinocaprinocultura,1,Araguína
Araguaína,Principais produtos comercializados - bezerros,9,Araguína
Araguaína,Suinocultura,12,Araguína
Araguaína,Vaca - cruzada,9,Araguína
Aurora do Tocantins,Avicultura,6,Taguatinga do Tocantins
Aurora do Tocantins,Bovinocultura de corte,2,Taguatinga do Tocantins
Aurora do Tocantins,Bovinocultura de leite,2,Taguatinga do Tocantins
Aurora do Tocantins,Bovinocultura mista (touro - com características de corte,1,Taguatinga do Tocantins
Aurora do Tocantins,Culturas anuais,2,Taguatinga do Tocantins
Aurora do Tocantins,Extrativismo vegetal,1,Taguatinga do Tocantins
Aurora do Tocantins,Fruticultura,2,Taguatinga do Tocantins
Aurora do Tocantins,Leite) -,1,Taguatinga do Tocantins
Aurora do Tocantins,Mandiocultura,3,Taguatinga do Tocantins
Aurora do Tocantins,Olericultura,1,Taguatinga do Tocantins
Aurora do Tocantins,Pisicultura,1,Taguatinga do Tocantins
Aurora do Tocantins,Principais produtos comercializados - bezerros,1,Taguatinga do Tocantins
Aurora do Tocantins,Suinocultura,4,Taguatinga do Tocantins
Aurora do Tocantins,Vaca - cruzada,1,Taguatinga do Tocantins
Axixá do Tocantins,Avicultura,6,Araguatins
Axixá do Tocantins,Bovinocultura de corte,2,Araguatins
Axixá do Tocantins,Bovinocultura de leite,18,Araguatins
Axixá do Tocantins,Bovinocultura mista (touro - com características de corte,2,Araguatins
Axixá do Tocantins,Culturas anuais,5,Araguatins
