uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_original,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
"Plantio convencional, Pastagem nativa",Degradação Média,Chapada de Areia,2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Plantio convencional,Pouco degradado,Gurupi,2,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
"Plantio convencional, Uso de agrotóxicos",,LUZINOPOLIS-TO,2,luzinopolis-to,,,,,luzinopolis,1712454.0,17.0,Luzinópolis,luzinopolis,1712454.0,17.0,Luzinópolis
"Roça de toco, Plantio convencional, Monocultura",Pouco degradado,MONTE DO CARMO-TO.,2,monte do carmo-to.,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Plantio convencional,Pouco degradado,Chapada de Areia,2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Aração e gradagem,,PORTO NACIONAL - TO,2,porto nacional - to,,,,,porto nacional,1718204.0,17.0,Porto Nacional,porto nacional,1718204.0,17.0,Porto Nacional
"Roça de toco, Plantio convencional, Queimadas, Monocultura",Pouco degradado,Xambioa,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Aração e gradagem,Degradação Média,PEIXE,2,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
"Roça de toco, Plantio convencional, Aração e gradagem",Não possui degradação,Araguanã,2,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
"Plantio convencional, Aração e gradagem, Queimadas",Pouco degradado,PARANÃ TO,2,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Aração e gradagem,Não possui degradação,pium,2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Roça de toco,,LAGOA DA CONFUSÃO - TO,2,lagoa da confusao - to,,,,,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,SÍTIO NOVO DO TOCANTINS,2,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",Pouco degradado,Xambioa,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Plantio convencional,Pouco degradado,CHAPADA DA NATIVIDADE,2,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",Não possui degradação,Araguanã,2,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
"Aração e gradagem, Pastagem nativa",,BOM JESUS DO TOCANTINS,2,bom jesus do tocantins,17.0,1703305.0,Bom Jesus do Tocantins,bom jesus do tocantins,,,,,,1703305.0,17.0,Bom Jesus do Tocantins
Não usa,Pouco degradado,CHAPADA DA NATIVIDADE-TO,2,chapada da natividade-to,,,,,chapada da natividade,1705102.0,17.0,Chapada da Natividade,chapada da natividade,1705102.0,17.0,Chapada da Natividade
"Roça de toco, Plantio convencional, Uso de agrotóxicos",Degradação Média,Xambioá,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Plantio convencional,,Pugmil,2,pugmil,17.0,1718451.0,Pugmil,pugmil,,,,,,1718451.0,17.0,Pugmil
"Roça de toco, Pastagem nativa",Não possui degradação,PARANÃ -TO,2,parana -to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Plantio convencional, Aração e gradagem",Pouco degradado,Couto Magalhães,2,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,DOIS IRMÃOS DO TOCANTINS - TO,2,dois irmaos do tocantins - to,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,TABOCÃO,2,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
"Plantio convencional, Aração e gradagem",Pouco degradado,Gurupi-TO,2,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,RIO DOS BOIS,2,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Plantio convencional,Não possui degradação,RIO SONO,2,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
Aração e gradagem,Não possui degradação,Marianópolis do Tocantins,2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,SANTA FÉ DO ARAGUAIA,2,santa fe do araguaia,17.0,1718865.0,Santa Fé do Araguaia,santa fe do araguaia,,,,,,1718865.0,17.0,Santa Fé do Araguaia
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,MARIANÓPOLIS,1,marianopolis,,,,,marianopolis do tocantins,1712504.0,17.0,Marianópolis do Tocantins,marianopolis do tocantins,1712504.0,17.0,Marianópolis do Tocantins
Aração e gradagem,Pouco degradado,GUARAI,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Uso de agrotóxicos,Degradação Média,SANTA FÉ DO ARAGUAIA,1,santa fe do araguaia,17.0,1718865.0,Santa Fé do Araguaia,santa fe do araguaia,,,,,,1718865.0,17.0,Santa Fé do Araguaia
Uso de agrotóxicos,Não possui degradação,Miranorte,1,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Araguaina,1,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Plantio convencional,Pouco degradado,Barrolândia-To,1,barrolandia-to,,,,,barrolandia,1703107.0,17.0,Barrolândia,barrolandia,1703107.0,17.0,Barrolândia
Monocultura,Pouco degradado,Alvorada TO,1,alvorada to,,,,,alvorada,1700707.0,17.0,Alvorada,alvorada,1700707.0,17.0,Alvorada
"Aração e gradagem, Não usa",,ALMAS,1,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,FILADELFIA,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Aração e gradagem, Queimadas",Não possui degradação,Ananás,1,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
"Roça de toco, Não usa",,Cristalandia,1,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
"Roça de toco, Aração e gradagem",Não possui degradação,BOM JESUS DO TOCANTINS,1,bom jesus do tocantins,17.0,1703305.0,Bom Jesus do Tocantins,bom jesus do tocantins,,,,,,1703305.0,17.0,Bom Jesus do Tocantins
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,PARANÃ -TO,1,parana -to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Roça de toco, Não usa",,FILADÉLFIA,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,FIGUEIRÓPOLIS -TO,1,figueiropolis -to,,,,,figueiropolis,1707652.0,17.0,Figueirópolis,figueiropolis,1707652.0,17.0,Figueirópolis
Pastagem nativa,,RIO DA CONCEOÇÃO,1,rio da conceocao,,,,,rio da conceicao,1718659.0,17.0,Rio da Conceição,rio da conceicao,1718659.0,17.0,Rio da Conceição
Roça de toco,,DIANOPOLIS,1,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Plantio convencional, Aração e gradagem",Degradação Média,pium,1,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Barrolândia,1,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,XAMBIOÁ,1,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Aração e gradagem, Monocultura",,Filadelfia,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Roça de toco,Não possui degradação,ALMAS,1,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
"Roça de toco, Queimadas, Monocultura",,Xambioa,1,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,PARANÃ-TO,1,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Monocultura, Uso de agrotóxicos",Pouco degradado,PARAÍSO DO TOCANTINS,1,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
"Plantio convencional, Aração e gradagem",Pouco degradado,Araguaçu,1,araguacu,17.0,1702000.0,Araguaçu,araguacu,,,,,,1702000.0,17.0,Araguaçu
"Roça de toco, Aração e gradagem, Pastagem nativa",Degradação Média,SILVANOPOLIS,1,silvanopolis,17.0,1720655.0,Silvanópolis,silvanopolis,,,,,,1720655.0,17.0,Silvanópolis
Não usa,,DIANÓPOLIS,1,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Aração e gradagem, Uso de agrotóxicos",,PIUM,1,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Pastagem nativa,,DOIS IRMAOS,1,dois irmaos,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
"Roça de toco, Aração e gradagem",Não possui degradação,RIACHINHO,1,riachinho,17.0,1718550.0,Riachinho,riachinho,,,,,,1718550.0,17.0,Riachinho
Plantio convencional,Não possui degradação,GUARAI,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Uso de agrotóxicos,Não possui degradação,GUARAI,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Não usa,Degradação Média,Nova Rosalãndia,1,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
"Roça de toco, Aração e gradagem",Não possui degradação,NOVO JARDIM,1,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Não possui degradação,MIRANORTE,1,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Aração e gradagem,Muito degradado,Sucupira-TO,1,sucupira-to,,,,,sucupira,1720853.0,17.0,Sucupira,sucupira,1720853.0,17.0,Sucupira
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,COUTO DE MAGALHAES,1,couto de magalhaes,,,,,couto magalhaes,1706001.0,17.0,Couto Magalhães,couto magalhaes,1706001.0,17.0,Couto Magalhães
"Plantio convencional, Aração e gradagem",Pouco degradado,APARECIDA DO RIO NEGRO,1,aparecida do rio negro,17.0,1701101.0,Aparecida do Rio Negro,aparecida do rio negro,,,,,,1701101.0,17.0,Aparecida do Rio Negro
Roça de toco,Pouco degradado,Talisma,1,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,PARAISO -TO,1,paraiso -to,,,,,paraiso do tocantins,1716109.0,17.0,Paraíso do Tocantins,paraiso do tocantins,1716109.0,17.0,Paraíso do Tocantins
"Pastagem nativa, Não usa",Não possui degradação,Cristalandia,1,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,São Bento do Tocantins,1,sao bento do tocantins,17.0,1720101.0,São Bento do Tocantins,sao bento do tocantins,,,,,,1720101.0,17.0,São Bento do Tocantins
Aração e gradagem,Degradação Média,GURUPI,1,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
Plantio convencional,Pouco degradado,DUEURÉ,1,dueure,,,,,duere,1707306.0,17.0,Dueré,duere,1707306.0,17.0,Dueré
"Roça de toco, Aração e gradagem",,Filadelfia,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Aração e gradagem, Pastagem nativa",Muito degradado,Dueré TO,1,duere to,,,,,duere,1707306.0,17.0,Dueré,duere,1707306.0,17.0,Dueré
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Santa Terezinha do tocantins,1,santa terezinha do tocantins,17.0,1720002.0,Santa Terezinha do Tocantins,santa terezinha do tocantins,,,,,,1720002.0,17.0,Santa Terezinha do Tocantins
"Roça de toco, Uso de agrotóxicos",Pouco degradado,DOIS IRMÃOS DO TOCANTINS - TO,1,dois irmaos do tocantins - to,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
"Plantio convencional, Uso de agrotóxicos",,AGUIARNOPOLIS,1,aguiarnopolis,17.0,1700301.0,Aguiarnópolis,aguiarnopolis,,,,,,1700301.0,17.0,Aguiarnópolis
"Plantio convencional, Aração e gradagem",Pouco degradado,GURUPI,1,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,XAMBIOÁ TO,1,xambioa to,,,,,xambioa,1722107.0,17.0,Xambioá,xambioa,1722107.0,17.0,Xambioá
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,NOVA OLINDA,1,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
Não usa,Pouco degradado,RIO DA CONCEIÇÃO,1,rio da conceicao,17.0,1718659.0,Rio da Conceição,rio da conceicao,,,,,,1718659.0,17.0,Rio da Conceição
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Dois Irmaos do Tocantins,1,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
Aração e gradagem,Degradação Média,Cristalandia - TO,1,cristalandia - to,,,,,cristalandia,1706100.0,17.0,Cristalândia,cristalandia,1706100.0,17.0,Cristalândia
Aração e gradagem,Pouco degradado,Cristalandia,1,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,CHAPADA DA NATIVIDADE,1,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
"Roça de toco, Uso de agrotóxicos",Pouco degradado,DOIS IRMÃOS - TO,1,dois irmaos - to,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
"Aração e gradagem, Uso de agrotóxicos",,PALMEIRAS,1,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
"Monocultura, Não usa",,Esperantina,1,esperantina,17.0,1707405.0,Esperantina,esperantina,,,,,,1707405.0,17.0,Esperantina
Roça de toco,,ESPERANTINA,1,esperantina,17.0,1707405.0,Esperantina,esperantina,,,,,,1707405.0,17.0,Esperantina
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,FILADÉLFIA,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Aração e gradagem, Pastagem nativa",Pouco degradado,NOVA OLINDA,1,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,NOVA OLINDA - TO,1,nova olinda - to,,,,,nova olinda,1714880.0,17.0,Nova Olinda,nova olinda,1714880.0,17.0,Nova Olinda
Plantio convencional,Degradação Média,DUERÉ,1,duere,17.0,1707306.0,Dueré,duere,,,,,,1707306.0,17.0,Dueré
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Miracema dO Tocantins,1,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,AXIXA DO TOCANTINS,1,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
Plantio convencional,,Filadelfia,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte/To,1,miranorte/to,,,,,miranorte,1713304.0,17.0,Miranorte,miranorte,1713304.0,17.0,Miranorte
"Plantio convencional, Aração e gradagem, Pastagem nativa",Degradação Média,Nova Rosalândia,1,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
"Plantio convencional, Aração e gradagem, Monocultura",Degradação Média,FILADÉLFIA,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Plantio convencional,Pouco degradado,COLMÉIA,1,colmeia,17.0,1716703.0,Colméia,colmeia,,,,,,1716703.0,17.0,Colméia
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura",,NOVA OLINDA,1,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
"Plantio convencional, Aração e gradagem",Degradação Média,Dueré,1,duere,17.0,1707306.0,Dueré,duere,,,,,,1707306.0,17.0,Dueré
"Plantio convencional, Pastagem nativa",Pouco degradado,Monte Santo,1,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
Aração e gradagem,Pouco degradado,Sucupira-TO,1,sucupira-to,,,,,sucupira,1720853.0,17.0,Sucupira,sucupira,1720853.0,17.0,Sucupira
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Gurupi-TO,1,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,GUARAÍ,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Colmeia TO,1,colmeia to,,,,,colmeia,1716703.0,17.0,Colméia,colmeia,1716703.0,17.0,Colméia
Aração e gradagem,Não possui degradação,GUARAÍ,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Aração e gradagem,Não possui degradação,Cristalandia To  Associação Vila da Prata,1,cristalandia to  associacao vila da prata,,,,,cristalandia,1706100.0,17.0,Cristalândia,cristalandia,1706100.0,17.0,Cristalândia
Aração e gradagem,Pouco degradado,Ananas,1,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
"Aração e gradagem, Pastagem nativa",Não possui degradação,Sucupira-TO,1,sucupira-to,,,,,sucupira,1720853.0,17.0,Sucupira,sucupira,1720853.0,17.0,Sucupira
"Aração e gradagem, Pastagem nativa",Não possui degradação,DIVINÓPOLIS,1,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,DIANÓPOLIS,1,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Aração e gradagem, Monocultura",Degradação Média,Araguaçu,1,araguacu,17.0,1702000.0,Araguaçu,araguacu,,,,,,1702000.0,17.0,Araguaçu
Aração e gradagem,,PORTO ALEGRE DO TOCANTINS,1,porto alegre do tocantins,17.0,1718006.0,Porto Alegre do Tocantins,porto alegre do tocantins,,,,,,1718006.0,17.0,Porto Alegre do Tocantins
Plantio convencional,,MONTE SANTO,1,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
"Plantio convencional, Uso de agrotóxicos",,PALMEIRAS DO TOCANTINS,1,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Roça de toco,,Gurupi-TO,1,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
Aração e gradagem,Não possui degradação,CASEARA,1,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,AXIXÁ DO TOCANTINS,1,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
"Roça de toco, Plantio convencional, Pastagem nativa, Uso de agrotóxicos",,Xambioá,1,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Aração e gradagem,,Marianópolis - TO,1,marianopolis - to,,,,,dianopolis,1707009.0,17.0,Dianópolis,dianopolis,1707009.0,17.0,Dianópolis
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,DIANÓPOLIS,1,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Plantio convencional,,NOVO JARDIM,1,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",,Babaçulândia,1,babaculandia,17.0,1703008.0,Babaçulândia,babaculandia,,,,,,1703008.0,17.0,Babaçulândia
"Roça de toco, Plantio convencional, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,GUARAI,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,ITAGUATINS,1,itaguatins,17.0,1710706.0,Itaguatins,itaguatins,,,,,,1710706.0,17.0,Itaguatins
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,DIANÓPOLIS,1,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Não usa,Pouco degradado,Aliança,1,alianca,,,,,alianca do tocantins,1700350.0,17.0,Aliança do Tocantins,alianca do tocantins,1700350.0,17.0,Aliança do Tocantins
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Dois Irmãos,1,dois irmaos,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
"Plantio convencional, Aração e gradagem, Não usa",,PALMAS,1,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Palmeiras do Tocantins,1,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",,Araguatins,1,araguatins,17.0,1702208.0,Araguatins,araguatins,,,,,,1702208.0,17.0,Araguatins
"Roça de toco, Uso de agrotóxicos",Pouco degradado,Filadélfia,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,AXIXA DO TOCANTINS,1,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,AXIXÁ DO TO,1,axixa do to,,,,,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins
Aração e gradagem,,barrolandia tocantins,1,barrolandia tocantins,,,,,barrolandia,1703107.0,17.0,Barrolândia,barrolandia,1703107.0,17.0,Barrolândia
"Aração e gradagem, Pastagem nativa, Não usa",Pouco degradado,Aurora do Tocantins,1,aurora do tocantins,17.0,1702703.0,Aurora do Tocantins,aurora do tocantins,,,,,,1702703.0,17.0,Aurora do Tocantins
"Roça de toco, Plantio convencional, Uso de agrotóxicos",Degradação Média,AXIXA DO TOCANTINS,1,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
Uso de agrotóxicos,,Miranorte,1,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Plantio convencional,Pouco degradado,Peixe,1,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",,ARAGOMINAS -TO,1,aragominas -to,,,,,aragominas,1701309.0,17.0,Aragominas,aragominas,1701309.0,17.0,Aragominas
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,AXIXA DO TOCANTIS,1,axixa do tocantis,,,,,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins
"Plantio convencional, Uso de agrotóxicos",,Palmeiras do Tocantins,1,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Roça de toco,,Almas,1,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
