uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_original,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
Plantio convencional,Degradação Média,Nova Rosalãndia,3,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Plantio convencional,Não possui degradação,CHAPADA DE AREIA,3,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Araguaína,3,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Roça de toco, Plantio convencional, Queimadas, Uso de agrotóxicos",Degradação Média,Xambioá,3,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Plantio convencional,,CASEARA,3,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Roça de toco, Queimadas",,Ananás,3,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,RIO DOS BOIS,3,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Não usa,Não possui degradação,Talisma,3,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Barrolândia,3,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
Aração e gradagem,,PALMAS,3,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,DOIS IRMÃOS DO TOCANTINS,3,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
"Plantio convencional, Aração e gradagem",Degradação Média,Nova Rosalãndia,3,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
"Roça de toco, Pastagem nativa",Não possui degradação,PARANÃ-TO,3,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Uso de agrotóxicos,Não possui degradação,MIRANORTE,3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Uso de agrotóxicos,Pouco degradado,TABOCÃO,3,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
Aração e gradagem,,SANTA MARIA DO TOCANTINS,3,santa maria do tocantins,17.0,1718881.0,Santa Maria do Tocantins,santa maria do tocantins,,,,,,1718881.0,17.0,Santa Maria do Tocantins
"Plantio convencional, Aração e gradagem",Pouco degradado,Peixe,3,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Couto Magalhães,3,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Peixe,3,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,MIRANORTE,3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Aração e gradagem,Não possui degradação,PEDRO AFONSO,3,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
Aração e gradagem,Pouco degradado,PEDRO AFONSO,3,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
"Roça de toco, Queimadas, Pastagem nativa",,FILADÉLFIA,3,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Não usa,Não possui degradação,GUARAI,3,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Não usa,Degradação Média,MARIANOPOLIS DO TOCANTINS,3,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Queimadas,Não possui degradação,Ananás,3,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Plantio convencional,Degradação Média,Chapada de Areia,3,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Aração e gradagem,Pouco degradado,Ananás,3,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Aração e gradagem,,Wanderlândia,3,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
Roça de toco,,SÃO BENTO DO TOCANTINS,3,sao bento do tocantins,17.0,1720101.0,São Bento do Tocantins,sao bento do tocantins,,,,,,1720101.0,17.0,São Bento do Tocantins
"Aração e gradagem, Uso de agrotóxicos",,Araguaína,3,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Não usa,,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Roça de toco, Plantio convencional",Não possui degradação,RIO SONO,2,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
Aração e gradagem,Degradação Média,CHAPADA DA NATIVIDADE,2,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
Plantio convencional,Não possui degradação,CASEARA,2,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Plantio convencional, Aração e gradagem",,Barrolândia,2,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
"Plantio convencional, Aração e gradagem",Pouco degradado,Gurupi,2,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
"Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,GOIATINS,2,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
"Roça de toco, Queimadas",Não possui degradação,DIANÓPOLIS,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Aração e gradagem,Degradação Média,PEDRO AFONSO,2,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
Não usa,,SILVANÓPOLIS,2,silvanopolis,17.0,1720655.0,Silvanópolis,silvanopolis,,,,,,1720655.0,17.0,Silvanópolis
Pastagem nativa,Degradação Média,MARIANOPOLIS DO TOCANTINS,2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
"Aração e gradagem, Uso de agrotóxicos",,Wanderlândia,2,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
Aração e gradagem,Degradação Média,PORTO ALEGRE DO TOCANTINS,2,porto alegre do tocantins,17.0,1718006.0,Porto Alegre do Tocantins,porto alegre do tocantins,,,,,,1718006.0,17.0,Porto Alegre do Tocantins
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,ARAGUAÍNA,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Plantio convencional,,Gurupi,2,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Degradação Média,PARANÃ TO,2,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,PARANÃ,2,parana,17.0,1716208.0,Paranã,parana,,,,,,1716208.0,17.0,Paranã
Aração e gradagem,Pouco degradado,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Plantio convencional, Aração e gradagem",Não possui degradação,Divinopolis do Tocantins,2,divinopolis do tocantins,17.0,1707108.0,Divinópolis do Tocantins,divinopolis do tocantins,,,,,,1707108.0,17.0,Divinópolis do Tocantins
Plantio convencional,,RIO SONO,2,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
"Plantio convencional, Aração e gradagem",Não possui degradação,MONTE SANTO,2,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
"Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,PARANÃ-TO,2,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Plantio convencional, Aração e gradagem, Pastagem nativa",,CASEARA-TO,2,caseara-to,,,,,caseara,1703909.0,17.0,Caseara,caseara,1703909.0,17.0,Caseara
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,PUGMIL -TO,2,pugmil -to,,,,,pugmil,1718451.0,17.0,Pugmil,pugmil,1718451.0,17.0,Pugmil
"Plantio convencional, Aração e gradagem",Não possui degradação,RIACHINHO,2,riachinho,17.0,1718550.0,Riachinho,riachinho,,,,,,1718550.0,17.0,Riachinho
"Aração e gradagem, Não usa",Pouco degradado,MIRANORTE,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",,Xambioa,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Roça de toco, Aração e gradagem, Pastagem nativa",,CARMOLANDIA,2,carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",,ARAGUAÍNA,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Aração e gradagem, Pastagem nativa",Pouco degradado,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Roça de toco, Queimadas",,Tocantínia,2,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
"Queimadas, Uso de agrotóxicos",Degradação Média,Xambioá,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Plantio convencional, Aração e gradagem",Pouco degradado,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,GOIATINS,2,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,PEDRO AFONSO,2,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Itaporã do Tocantins,2,itapora do tocantins,17.0,1711100.0,Itaporã do Tocantins,itapora do tocantins,,,,,,1711100.0,17.0,Itaporã do Tocantins
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Miracema do Tocantins,2,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",,Araguatins,2,araguatins,17.0,1702208.0,Araguatins,araguatins,,,,,,1702208.0,17.0,Araguatins
Uso de agrotóxicos,Pouco degradado,RIO DOS BOIS,2,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Aração e gradagem,Não possui degradação,GUARAI,2,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
"Roça de toco, Plantio convencional",,DIANÓPOLIS,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,AXIXA DO TOCANTINS,2,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
"Aração e gradagem, Uso de agrotóxicos",,Dois Irmãos do Tocantins,2,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
Aração e gradagem,Não possui degradação,MIRANORTE,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",Degradação Média,NOVA OLINDA,2,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
"Plantio convencional, Aração e gradagem",Não possui degradação,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Plantio convencional, Aração e gradagem",Não possui degradação,Marianópolis do Tocantins,2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Aração e gradagem,,Riachinho,2,riachinho,17.0,1718550.0,Riachinho,riachinho,,,,,,1718550.0,17.0,Riachinho
Aração e gradagem,Pouco degradado,Aurora do Tocantins,2,aurora do tocantins,17.0,1702703.0,Aurora do Tocantins,aurora do tocantins,,,,,,1702703.0,17.0,Aurora do Tocantins
"Roça de toco, Plantio convencional, Monocultura",Pouco degradado,MONTE DO CARMO-TO,2,monte do carmo-to,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Plantio convencional,Não possui degradação,MIRANORTE,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Roça de toco, Plantio convencional",Não possui degradação,CASEARA,2,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Piraquê,2,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
"Aração e gradagem, Pastagem nativa",Pouco degradado,PIUM,2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Não usa,,Miracema do Tocantins,2,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
"Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,NOVA OLINDA,2,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
Roça de toco,Não possui degradação,PARANÃ-TO,2,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,CHAPADA DE AREIA,2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Não usa,,RIO DA CONCEIÇÃO,2,rio da conceicao,17.0,1718659.0,Rio da Conceição,rio da conceicao,,,,,,1718659.0,17.0,Rio da Conceição
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Palmeirópolis,2,palmeiropolis,17.0,1715754.0,Palmeirópolis,palmeiropolis,,,,,,1715754.0,17.0,Palmeirópolis
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Cristalandia,2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
"Plantio convencional, Aração e gradagem",Pouco degradado,Paraiso do Tocantins,2,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Plantio convencional,,PALMAS,2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
"Roça de toco, Aração e gradagem",Não possui degradação,Dianópolis,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,RIO DOS BOIS,2,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,AXIXA DO TOCANTINS,2,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,PIUM,2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
"Plantio convencional, Aração e gradagem",Degradação Média,São Salvador do Tocantins,2,sao salvador do tocantins,17.0,1720259.0,São Salvador do Tocantins,sao salvador do tocantins,,,,,,1720259.0,17.0,São Salvador do Tocantins
Aração e gradagem,Não possui degradação,Gurupi-TO,2,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,MIRACEMA,2,miracema,,,,,miracema do tocantins,1713205.0,17.0,Miracema do Tocantins,miracema do tocantins,1713205.0,17.0,Miracema do Tocantins
"Plantio convencional, Pastagem nativa, Uso de agrotóxicos",Degradação Média,MARIANOPOLIS DO TOCANTINS,2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,GUARAI,2,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",,NOVA OLINDA - TO,2,nova olinda - to,,,,,nova olinda,1714880.0,17.0,Nova Olinda,nova olinda,1714880.0,17.0,Nova Olinda
"Queimadas, Uso de agrotóxicos",Pouco degradado,MURICILÂNDIA,2,muricilandia,17.0,1713957.0,Muricilândia,muricilandia,,,,,,1713957.0,17.0,Muricilândia
