Unnamed: 0,municipio_original,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
339,Goiatins,Araguaina,Pouco degradado,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
340,Alvorada,Gurupi,Não possui degradação,alvorada,17.0,1700707.0,Alvorada,alvorada,,,,,,1700707.0,17.0,Alvorada
341,COLMÉIA,Colinas,Pouco degradado,colmeia,17.0,1716703.0,Colméia,colmeia,,,,,,1716703.0,17.0,Colméia
342,Talismã,Gurupi,,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
343,Filadélfia,Araguaina,Pouco degradado,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
344,CHAPADA DA NATIVIDADE-TO,Porto,Pouco degradado,chapada da natividade-to,,,,,chapada da natividade,1705102.0,17.0,Chapada da Natividade,chapada da natividade,1705102.0,17.0,Chapada da Natividade
345,Chapada da Natividade,Porto,Degradação Média,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
346,Araguanã,Araguaina,Não possui degradação,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
347,Talismã-TO,Gurupi,Não possui degradação,talisma-to,,,,,talisma,1720978.0,17.0,Talismã,talisma,1720978.0,17.0,Talismã
348,Pium,Paraiso,Não possui degradação,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
349,Silvanópolis,Porto,Pouco degradado,silvanopolis,17.0,1720655.0,Silvanópolis,silvanopolis,,,,,,1720655.0,17.0,Silvanópolis
350,Divinópolis do Tocantins,Paraiso,Pouco degradado,divinopolis do tocantins,17.0,1707108.0,Divinópolis do Tocantins,divinopolis do tocantins,,,,,,1707108.0,17.0,Divinópolis do Tocantins
351,Chapada da Natividade,Porto,Degradação Média,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
352,DIVINÓPOLIS,Paraiso,Pouco degradado,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
353,Pium,Paraiso,Não possui degradação,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
354,Dianópolis,Taguatinga,Não possui degradação,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
355,Axixá do Tocantins,Araguatins,Pouco degradado,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
356,Talismã,Gurupi,Não possui degradação,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
357,MONTE SANTO DO TOCANTINS - TO,Paraiso,Pouco degradado,monte santo do tocantins - to,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
358,Guaraí,Colinas,Não possui degradação,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
359,Sucupira,Gurupi,Não possui degradação,sucupira,17.0,1720853.0,Sucupira,sucupira,,,,,,1720853.0,17.0,Sucupira
360,Porto Alegre do Tocantins,Taguatinga,Degradação Média,porto alegre do tocantins,17.0,1718006.0,Porto Alegre do Tocantins,porto alegre do tocantins,,,,,,1718006.0,17.0,Porto Alegre do Tocantins
361,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
362,Divinópolis do Tocantins,Paraiso,Não possui degradação,divinopolis do tocantins,17.0,1707108.0,Divinópolis do Tocantins,divinopolis do tocantins,,,,,,1707108.0,17.0,Divinópolis do Tocantins
363,Guaraí,Colinas,Não possui degradação,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
364,Chapada de Areia,Paraiso,Degradação Média,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
365,PARANÃ,Taguatinga,Não possui degradação,parana,17.0,1716208.0,Paranã,parana,,,,,,1716208.0,17.0,Paranã
366,Dianópolis,Taguatinga,Não possui degradação,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
367,RIO SONO TO,Miracema,Não possui degradação,rio sono to,,,,,rio sono,1718758.0,17.0,Rio Sono,rio sono,1718758.0,17.0,Rio Sono
368,Talismã-TO,Gurupi,Não possui degradação,talisma-to,,,,,talisma,1720978.0,17.0,Talismã,talisma,1720978.0,17.0,Talismã
369,Peixe,Gurupi,Degradação Média,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
370,Divinópolis do Tocantins,Paraiso,,divinopolis do tocantins,17.0,1707108.0,Divinópolis do Tocantins,divinopolis do tocantins,,,,,,1707108.0,17.0,Divinópolis do Tocantins
371,Paraíso do Tocantins,Paraiso,Degradação Média,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
372,PARANÃ TO,Taguatinga,Pouco degradado,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
373,CHAPADA DA NATIVIDADE-TO,Porto,Pouco degradado,chapada da natividade-to,,,,,chapada da natividade,1705102.0,17.0,Chapada da Natividade,chapada da natividade,1705102.0,17.0,Chapada da Natividade
374,PARANÃ-TO,Taguatinga,Não possui degradação,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
375,Cristalândia,Paraiso,Não possui degradação,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
376,PARANÃ TO,Taguatinga,Pouco degradado,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
377,Talismã-TO,Gurupi,Não possui degradação,talisma-to,,,,,talisma,1720978.0,17.0,Talismã,talisma,1720978.0,17.0,Talismã
378,Guaraí,Colinas,Não possui degradação,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
379,SANTA FÉ DO ARAGUAIA,Araguaina,Degradação Média,santa fe do araguaia,17.0,1718865.0,Santa Fé do Araguaia,santa fe do araguaia,,,,,,1718865.0,17.0,Santa Fé do Araguaia
380,PALMEIRAS,Araguatins,Não possui degradação,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
381,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
382,Ponte Alta do Bom Jesus,Taguatinga,Pouco degradado,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
383,DIVINÓPOLIS,Paraiso,Não possui degradação,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
384,Goiatins,Araguaina,Pouco degradado,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
385,COUTO DE MAGALHAES,Colinas,Não possui degradação,couto de magalhaes,,,,,couto magalhaes,1706001.0,17.0,Couto Magalhães,couto magalhaes,1706001.0,17.0,Couto Magalhães
386,Nova Rosalândia,Paraiso,Degradação Média,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
387,Miranorte-To,Miracema,Não possui degradação,miranorte-to,,,,,miranorte,1713304.0,17.0,Miranorte,miranorte,1713304.0,17.0,Miranorte
388,Palmeiras do Tocantins,Araguatins,Pouco degradado,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
389,Barrolândia-To,Paraiso,Pouco degradado,barrolandia-to,,,,,barrolandia,1703107.0,17.0,Barrolândia,barrolandia,1703107.0,17.0,Barrolândia
390,Guaraí,Colinas,Não possui degradação,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
391,Miracema do Tocantins,Paraiso,Não possui degradação,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
392,DIVINÓPOLIS,Paraiso,Não possui degradação,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
393,FIGUEIRÓPOLIS - TO.,Gurupi,Não possui degradação,figueiropolis - to.,,,,,figueiropolis,1707652.0,17.0,Figueirópolis,figueiropolis,1707652.0,17.0,Figueirópolis
394,Pium,Paraiso,Não possui degradação,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
395,Chapada de Areia,Paraiso,Degradação Média,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
396,Miracema do Tocantins,Paraiso,Pouco degradado,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
397,Gurupi,Gurupi,Degradação Média,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
398,FILADÉLFIA,Araguaina,Não possui degradação,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
399,Talismã,Gurupi,Não possui degradação,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
400,DUERÉ,Gurupi,Não possui degradação,duere,17.0,1707306.0,Dueré,duere,,,,,,1707306.0,17.0,Dueré
401,FILADÉLFIA,Araguaina,Não possui degradação,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
402,Cristalandia TO Associação Vila da Prata,Paraiso,Não possui degradação,cristalandia to associacao vila da prata,,,,,cristalandia,1706100.0,17.0,Cristalândia,cristalandia,1706100.0,17.0,Cristalândia
403,Guaraí,Colinas,Não possui degradação,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
404,Miranorte-TO,Miracema,Não possui degradação,miranorte-to,,,,,miranorte,1713304.0,17.0,Miranorte,miranorte,1713304.0,17.0,Miranorte
405,DIVINÓPOLIS,Paraiso,Pouco degradado,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
406,PARANÃ-TO,Taguatinga,Não possui degradação,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
407,Marianópolis do Tocantins,Paraiso,Não possui degradação,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
408,Miracema do Tocantins,Paraiso,Degradação Média,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
409,DIVINÓPOLIS,Paraiso,Pouco degradado,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
410,Miranorte,Miracema,Não possui degradação,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
411,Peixe,Gurupi,Pouco degradado,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
412,rio sono to,Miracema,Não possui degradação,rio sono to,,,,,rio sono,1718758.0,17.0,Rio Sono,rio sono,1718758.0,17.0,Rio Sono
413,CASEARA -TO,Paraiso,Não possui degradação,caseara -to,,,,,caseara,1703909.0,17.0,Caseara,caseara,1703909.0,17.0,Caseara
414,Peixe,Gurupi,Degradação Média,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
415,Peixe,Gurupi,Pouco degradado,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
416,Peixe,Gurupi,Pouco degradado,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
417,Couto Magalhães,Colinas,Pouco degradado,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
418,MONTE SANTO,Paraiso,Não possui degradação,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
419,Talismã,Gurupi,Não possui degradação,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
420,PARANÃ -TO,Taguatinga,Não possui degradação,parana -to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
421,PARANÃ-TO,Taguatinga,Pouco degradado,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
422,FILADÉLFIA,Araguaina,Muito degradado,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
423,ALMAS TO,Taguatinga,Não possui degradação,almas to,,,,,almas,1700400.0,17.0,Almas,almas,1700400.0,17.0,Almas
424,Pium,Paraiso,Pouco degradado,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
425,SÍTIO NOVO DO TOCANTINS,Araguatins,Degradação Média,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
426,Goiatins,Araguaina,Pouco degradado,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
427,Cristalandia To PA S. Francisco,Paraiso,Pouco degradado,cristalandia to pa s. francisco,,,,,cristalandia,1706100.0,17.0,Cristalândia,cristalandia,1706100.0,17.0,Cristalândia
428,Dianópolis,Taguatinga,Não possui degradação,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
429,Santa Rita do Tocantins,Gurupi,Pouco degradado,santa rita do tocantins,17.0,1718899.0,Santa Rita do Tocantins,santa rita do tocantins,,,,,,1718899.0,17.0,Santa Rita do Tocantins
430,Marianópolis - TO,Paraiso,Não possui degradação,marianopolis - to,,,,,dianopolis,1707009.0,17.0,Dianópolis,dianopolis,1707009.0,17.0,Dianópolis
431,Marianópolis do Tocantins,Paraiso,Não possui degradação,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
432,Nova Rosalãndia,Paraiso,Degradação Média,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
433,Peixe,Gurupi,Pouco degradado,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
434,Marianópolis do Tocantins,Paraiso,Não possui degradação,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
435,Rio Sono,Miracema,Não possui degradação,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
436,JAU DO TO,Gurupi,Pouco degradado,jau do to,,,,,jau do tocantins,1711506.0,17.0,Jaú do Tocantins,jau do tocantins,1711506.0,17.0,Jaú do Tocantins
437,Peixe,Gurupi,Pouco degradado,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
438,Nova Rosalãndia,Paraiso,Degradação Média,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
439,Marianópolis do Tocantins,Paraiso,Pouco degradado,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
440,LUZINOPOLIS-TO,Araguatins,Não possui degradação,luzinopolis-to,,,,,luzinopolis,1712454.0,17.0,Luzinópolis,luzinopolis,1712454.0,17.0,Luzinópolis
441,Pium,Paraiso,Não possui degradação,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
442,Gurupi-TO,Gurupi,Pouco degradado,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
443,Palmeiras do Tocantins,Araguatins,Não possui degradação,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
444,Santa Rita do Tocantins,Gurupi,Degradação Média,santa rita do tocantins,17.0,1718899.0,Santa Rita do Tocantins,santa rita do tocantins,,,,,,1718899.0,17.0,Santa Rita do Tocantins
445,PARANÃ,Taguatinga,Pouco degradado,parana,17.0,1716208.0,Paranã,parana,,,,,,1716208.0,17.0,Paranã
446,FILADÉLFIA,Araguaina,Pouco degradado,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
447,Marianópolis do Tocantins,Paraiso,Não possui degradação,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
448,Marianópolis do Tocantins,Paraiso,Não possui degradação,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
449,Gurupi,Gurupi,Pouco degradado,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
450,Araguaçu,Gurupi,Degradação Média,araguacu,17.0,1702000.0,Araguaçu,araguacu,,,,,,1702000.0,17.0,Araguaçu
451,Filadélfia,Araguaina,Pouco degradado,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
452,Santa Terezinha do Tocantins,Araguatins,Pouco degradado,santa terezinha do tocantins,17.0,1720002.0,Santa Terezinha do Tocantins,santa terezinha do tocantins,,,,,,1720002.0,17.0,Santa Terezinha do Tocantins
453,MARIANÓPOLIS DO TOCANTINS,Paraiso,Degradação Média,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
454,Filadélfia,Araguaina,Degradação Média,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
455,PARANÃ TO,Taguatinga,Degradação Média,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
456,FILADÉLFIA,Araguaina,Pouco degradado,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
457,Caseara,Paraiso,Não possui degradação,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
458,Ananás,Araguatins,Não possui degradação,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
459,Caseara,Paraiso,Não possui degradação,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
460,Filadélfia,Araguaina,Pouco degradado,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
461,Caseara,Paraiso,Não possui degradação,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
462,pium to,Paraiso,Não possui degradação,pium to,,,,,pium,1717503.0,17.0,Pium,pium,1717503.0,17.0,Pium
463,LAGOA DA CONFUSÃO,Paraiso,Não possui degradação,lagoa da confusao,17.0,1711902.0,Lagoa da Confusão,lagoa da confusao,,,,,,1711902.0,17.0,Lagoa da Confusão
464,RIO SONO TO,Miracema,Não possui degradação,rio sono to,,,,,rio sono,1718758.0,17.0,Rio Sono,rio sono,1718758.0,17.0,Rio Sono
465,Pium,Paraiso,Pouco degradado,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
466,DIVINÓPOLIS,Paraiso,Pouco degradado,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
467,Marianópolis do Tocantins,Paraiso,Degradação Média,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
468,Barrolândia,Paraiso,Não possui degradação,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
469,Rio Sono,Miracema,Não possui degradação,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
470,MONTE SANTO,Paraiso,Não possui degradação,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
471,Chapada de Areia,Paraiso,Degradação Média,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
472,Cristalândia,Paraiso,Pouco degradado,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
473,Alvorada,Gurupi,Não possui degradação,alvorada,17.0,1700707.0,Alvorada,alvorada,,,,,,1700707.0,17.0,Alvorada
474,Nova Rosalândia,Paraiso,Degradação Média,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
475,Gurupi-TO,Gurupi,Não possui degradação,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
476,Rio Sono,Miracema,Não possui degradação,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
477,PARANÃ-TO,Taguatinga,Não possui degradação,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
478,Cristalandia - TO,Paraiso,Degradação Média,cristalandia - to,,,,,cristalandia,1706100.0,17.0,Cristalândia,cristalandia,1706100.0,17.0,Cristalândia
479,Pium,Paraiso,Degradação Média,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
480,Dois Irmãos do Tocantins,Paraiso,Degradação Média,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
481,Miranorte,Miracema,Não possui degradação,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
482,Chapada da Natividade,Porto,Degradação Média,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
483,Chapada da Natividade,Porto,Pouco degradado,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
484,PARANÃ TO,Taguatinga,Pouco degradado,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
485,Cristalândia,Paraiso,Não possui degradação,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
486,Rio dos Bois,Miracema,Pouco degradado,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
487,PARANÃ TO,Taguatinga,Pouco degradado,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
488,PARANÃ TO,Taguatinga,Não possui degradação,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
489,FIGUEIRÓPOLIS -TO,Gurupi,Não possui degradação,figueiropolis -to,,,,,figueiropolis,1707652.0,17.0,Figueirópolis,figueiropolis,1707652.0,17.0,Figueirópolis
490,Nova Rosalãndia,Paraiso,Degradação Média,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
491,Silvanópolis,Porto,Degradação Média,silvanopolis,17.0,1720655.0,Silvanópolis,silvanopolis,,,,,,1720655.0,17.0,Silvanópolis
492,IPUEIRAS -TO,Porto,Pouco degradado,ipueiras -to,,,,,ipueiras,1709807.0,17.0,Ipueiras,ipueiras,1709807.0,17.0,Ipueiras
493,PARANÃ -TO,Taguatinga,Não possui degradação,parana -to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
494,Araguaina TO,Araguaina,Não possui degradação,araguaina to,,,,,araguaina,1702109.0,17.0,Araguaína,araguaina,1702109.0,17.0,Araguaína
495,Marianópolis do Tocantins,Paraiso,Degradação Média,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
496,Miracema do Tocantins,Paraiso,Pouco degradado,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
497,LAGOA DA CONFUSÃO,Paraiso,Pouco degradado,lagoa da confusao,17.0,1711902.0,Lagoa da Confusão,lagoa da confusao,,,,,,1711902.0,17.0,Lagoa da Confusão
498,Ipueiras,Porto,Não possui degradação,ipueiras,17.0,1709807.0,Ipueiras,ipueiras,,,,,,1709807.0,17.0,Ipueiras
499,MONTE DO CARMO-TO,Porto,Pouco degradado,monte do carmo-to,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
500,FIGUEIRÓPOLIS - TO.,Gurupi,Não possui degradação,figueiropolis - to.,,,,,figueiropolis,1707652.0,17.0,Figueirópolis,figueiropolis,1707652.0,17.0,Figueirópolis
501,SÍTIO NOVO DO TOCANTINS,Araguatins,Degradação Média,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
502,Rio dos Bois,Miracema,Pouco degradado,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
503,Darcinópolis,Araguatins,Degradação Média,darcinopolis,17.0,1706506.0,darcinópolis,darcinopolis,,,,,,1706506.0,17.0,darcinópolis
504,DIVINÓPOLIS,Paraiso,Não possui degradação,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
505,LAGOA DA CONFUSÃO -TO,Paraiso,Degradação Média,lagoa da confusao -to,,,,,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão
506,PARANÃ TO,Taguatinga,Pouco degradado,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
507,MONTE DO CARMO-TO.,Porto,Pouco degradado,monte do carmo-to.,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
