Unnamed: 0,municipio_original,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
41,MONTE DO CARMO-TO.,Porto,,monte do carmo-to.,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
42,Aurora do Tocantins,Taguatinga,Pouco degradado,aurora do tocantins,17.0,1702703.0,Aurora do Tocantins,aurora do tocantins,,,,,,1702703.0,17.0,Aurora do Tocantins
43,Araguatins,Araguatins,,araguatins,17.0,1702208.0,Araguatins,araguatins,,,,,,1702208.0,17.0,Araguatins
44,LUZINOPOLIS-TO,Araguatins,,luzinopolis-to,,,,,luzinopolis,1712454.0,17.0,Luzinópolis,luzinopolis,1712454.0,17.0,Luzinópolis
45,ALMAS TO,Taguatinga,,almas to,,,,,almas,1700400.0,17.0,Almas,almas,1700400.0,17.0,Almas
46,ALMAS TO,Taguatinga,,almas to,,,,,almas,1700400.0,17.0,Almas,almas,1700400.0,17.0,Almas
47,Peixe,Gurupi,,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
48,Ananás,Araguatins,,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
49,Palmeirópolis,Gurupi,,palmeiropolis,17.0,1715754.0,Palmeirópolis,palmeiropolis,,,,,,1715754.0,17.0,Palmeirópolis
50,Tocantínia,Miracema,,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
51,Palmas,Porto,,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
52,Ananás P.A Antonio Moreira,Araguatins,,ananas p.a antonio moreira,,,,,ananas,1701002.0,17.0,Ananás,ananas,1701002.0,17.0,Ananás
53,Palmas,Porto,,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
54,SÍTIO NOVO DO TOCANTINS,Araguatins,,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
55,Angico,Araguatins,,angico,17.0,1701051.0,Angico,angico,,,,,,1701051.0,17.0,Angico
56,Novo Acordo,Porto,,novo acordo,17.0,1715101.0,Novo Acordo,novo acordo,,,,,,1715101.0,17.0,Novo Acordo
