area_da_propriedade__hectares__,atividade_produtiva,Record Count
100 - 200 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais, Extrativismo Vegetal",1
100 - 200 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Mandiocultura, Culturas Anuais",1
Acima de 320 ha,"Bovinocultura de corte, Bovinocultura de Leite",1
10 - 20 ha,"Avicultura, Pisicultura, Mandiocultura",1
5 - 10 ha,"Avicultura, Apicultura/meliponicultura, Pisicultura, Mandiocultura",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Extrativismo Vegetal",1
1 - 5 ha,"Apicultura/meliponicultura, Mandiocultura, Cana",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Olericultura, Culturas Anuais",1
5 - 10 ha,"Bovinocultura de Leite, Avicultura, Pisicultura",1
5 - 10 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Olericultura",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Mandiocultura, Culturas Anuais",1
50 - 100 ha,"Mandiocultura, Culturas Anuais",1
5 - 10 ha,"Bovinocultura de corte, Avicultura, Pisicultura",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura",1
Até 1 ha,"Mandiocultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura",1
5 - 10 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Culturas Anuais",1
100 - 200 ha,"Bovinocultura de corte, Avicultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",1
1 - 5 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",1
20 - 50 ha,"Avicultura, Ovinocaprinocultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Olericultura",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Olericultura",1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Olericultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Culturas Anuais",1
20 - 50 ha,"Avicultura, Mandiocultura, quiabo",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Apicultura/meliponicultura",1
20 - 50 ha,gado de cria,1
Até 1 ha,Bovinocultura de Leite,1
5 - 10 ha,"Bovinocultura de Leite, Avicultura",1
5 - 10 ha,"Bovinocultura de corte, Avicultura, Suinocultura",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Olericultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Ovinocaprinocultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Extrativismo Vegetal",1
100 - 200 ha,"Bovinocultura de Leite, Avicultura",1
20 - 50 ha,"Avicultura, Culturas Anuais, Extrativismo Vegetal",1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura",1
50 - 100 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura",1
10 - 20 ha,"Mandiocultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Olericultura",1
5 - 10 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura",1
1 - 5 ha,"Bovinocultura de Leite, Avicultura",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Olericultura",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",1
1 - 5 ha,"Bovinocultura de corte, Avicultura, Mandiocultura",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",1
Acima de 320 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Apicultura/meliponicultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Pisicultura, PIMENTA DO REINO",1
10 - 20 ha,"Bovinocultura de corte, Apicultura/meliponicultura",1
100 - 200 ha,Bovinocultura de Leite,1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura",1
20 - 50 ha,"Bovinocultura de corte, Apicultura/meliponicultura",1
Até 1 ha,Avicultura,1
200 - 320 ha,Bovinocultura de corte,1
200 - 320 ha,"Bovinocultura de corte, Avicultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Agroindústria",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Avicultura, Suinocultura, Pisicultura, Olericultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura",1
50 - 100 ha,Avicultura,1
100 - 200 ha,"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Mandiocultura, Olericultura, CANA AÇUCAR",1
Até 1 ha,PESCA ARTESANAL,1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",1
200 - 320 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Ovinocaprinocultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",1
1 - 5 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",1
100 - 200 ha,"Bovinocultura de corte, Avicultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Fruticultura, Agroindustria",1
100 - 200 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de corte, Mandiocultura, Olericultura",1
20 - 50 ha,"Avicultura, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",1
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Apicultura/meliponicultura, Fruticultura, Olericultura, Extrativismo Vegetal",1
20 - 50 ha,"Fruticultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de Leite, Pisicultura, Culturas Anuais",1
5 - 10 ha,"Avicultura, Fruticultura, Extrativismo Vegetal",1
10 - 20 ha,"Avicultura, Suinocultura, Apicultura/meliponicultura, Mandiocultura",1
100 - 200 ha,"Bovinocultura de corte, Mandiocultura, Olericultura",1
5 - 10 ha,"Bovinocultura de corte, Avicultura",1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Mandiocultura, Cana-de-Açucar",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Culturas Anuais",1
Até 1 ha,"Bovinocultura de corte, Avicultura, Fruticultura",1
20 - 50 ha,"Mandiocultura, Fruticultura, Extrativismo Vegetal",1
200 - 320 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",1
1 - 5 ha,"Bovinocultura de corte, Avicultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
10 - 20 ha,"Olericultura, Extrativismo Vegetal",1
10 - 20 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",1
20 - 50 ha,"Avicultura, Suinocultura, Apicultura/meliponicultura, Mandiocultura, Fruticultura, Olericultura",1
100 - 200 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Turismo",1
200 - 320 ha,"Mandiocultura, Extrativismo Vegetal, PESCA",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Ovinocaprinocultura",1
20 - 50 ha,"Bovinocultura de corte, Suinocultura, Mandiocultura",1
200 - 320 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",1
1 - 5 ha,"Ovinocaprinocultura, Mandiocultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura de corte, Mandiocultura, Culturas Anuais",1
20 - 50 ha,"Mandiocultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Avicultura, Fruticultura, Olericultura, Culturas Anuais",1
5 - 10 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura",1
200 - 320 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Suinocultura",1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura",1
10 - 20 ha,"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura, Olericultura, Extrativismo Vegetal",1
50 - 100 ha,"Avicultura, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Mandiocultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Fruticultura, Olericultura",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",1
Até 1 ha,"Olericultura, Extrativismo Vegetal",1
50 - 100 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
1 - 5 ha,Fruticultura,1
10 - 20 ha,"Avicultura, Mandiocultura, Culturas Anuais",1
5 - 10 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura",1
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",1
1 - 5 ha,VIVEIRO DE MUDAS,1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais, CANA DE AÇUCAR",1
5 - 10 ha,"Avicultura, Suinocultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal, cultivo da mangaba",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",1
20 - 50 ha,"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Avicultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",1
5 - 10 ha,"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura, Culturas Anuais",1
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Olericultura",1
5 - 10 ha,"Avicultura, Mandiocultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura de corte, Olericultura, Culturas Anuais",1
5 - 10 ha,"Avicultura, Fruticultura, Culturas Anuais",1
Até 1 ha,"Avicultura, Mandiocultura, Fruticultura",1
Até 1 ha,"Avicultura, Pisicultura",1
1 - 5 ha,Extrativismo Vegetal,1
10 - 20 ha,"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
5 - 10 ha,"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Avicultura, Ovinocaprinocultura, Mandiocultura, Fruticultura, Olericultura",1
50 - 100 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura, Olericultura",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Olericultura",1
5 - 10 ha,"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Mandiocultura, Fruticultura",1
100 - 200 ha,"Bovinocultura de corte, Pisicultura",1
100 - 200 ha,"Bovinocultura de corte, Mandiocultura, Culturas Anuais",1
1 - 5 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",1
10 - 20 ha,"Apicultura/meliponicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Apicultura/meliponicultura, Mandiocultura",1
200 - 320 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
5 - 10 ha,"Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Suinocultura, Pisicultura, Mandiocultura",1
20 - 50 ha,"Bovinocultura de corte, Apicultura/meliponicultura, Mandiocultura, Olericultura",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Avicultura, Pisicultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Fruticultura",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de corte, Mandiocultura, Fruticultura, Olericultura, Extrativismo Vegetal",1
20 - 50 ha,"Suinocultura, Fruticultura",1
1 - 5 ha,"Avicultura, Fruticultura, Olericultura, Culturas Anuais",1
1 - 5 ha,"Fruticultura, Culturas Anuais",1
10 - 20 ha,"Avicultura, Suinocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura de corte, Pisicultura",1
1 - 5 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Pisicultura, Fruticultura, Olericultura, Culturas Anuais",1
200 - 320 ha,"Bovinocultura de corte, Avicultura, Ovinocaprinocultura",1
50 - 100 ha,"Avicultura, Mandiocultura, Olericultura",1
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Apicultura/meliponicultura, Fruticultura, Olericultura",1
1 - 5 ha,"Avicultura, Culturas Anuais, Café",1
1 - 5 ha,"Avicultura, Fruticultura, Olericultura",1
Até 1 ha,"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Avicultura, Suinocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
1 - 5 ha,"Avicultura, Suinocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",1
10 - 20 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",1
10 - 20 ha,"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",1
5 - 10 ha,"Bovinocultura de Leite, Olericultura",1
5 - 10 ha,"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",1
1 - 5 ha,"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
5 - 10 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",1
20 - 50 ha,"Pisicultura, Fruticultura, Olericultura",1
Até 1 ha,"Mandiocultura, Fruticultura, Olericultura",1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
1 - 5 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura",1
50 - 100 ha,"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1
1 - 5 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Mandiocultura, Fruticultura",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Ovinocaprinocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",1
10 - 20 ha,"Fruticultura, Olericultura, Culturas Anuais",1
5 - 10 ha,"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de Leite, Olericultura",1
5 - 10 ha,"Bovinocultura de corte, Bovinocultura de Leite, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, AGROINDÚSTRIA LÁCTEA",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Apicultura/meliponicultura, Mandiocultura, Fruticultura, Culturas Anuais",1
50 - 100 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",1
5 - 10 ha,"Bovinocultura de corte, Bovinocultura de Leite, Suinocultura, Apicultura/meliponicultura, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura",1
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Fruticultura, Olericultura, Culturas Anuais",1
5 - 10 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",1
10 - 20 ha,"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura, Culturas Anuais",1
1 - 5 ha,"Avicultura, Olericultura, Extrativismo Vegetal",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",1
100 - 200 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Pisicultura",1
50 - 100 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Mandiocultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura de corte, Avicultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Ovinocaprinocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Ovinocaprinocultura, Mandiocultura, Fruticultura, Olericultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Mandiocultura",1
