area_da_propriedade__hectares__,atividade_produtiva,Record Count
10 - 20 ha,"Bovinocultura de corte, Avicultura, Mandiocultura",3
10 - 20 ha,"Bovinocultura de corte, Avicultura, Suinocultura",3
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",3
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Suinocultura",3
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Olericultura",3
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura",3
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",3
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",3
20 - 50 ha,"Avicultura, Mandiocultura, Extrativismo Vegetal",3
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",3
10 - 20 ha,"Bovinocultura de Leite, Avicultura",3
20 - 50 ha,"Avicultura, Culturas Anuais",3
Até 1 ha,"Avicultura, Fruticultura",3
20 - 50 ha,"Bovinocultura de corte, Mandiocultura, Fruticultura",3
5 - 10 ha,Bovinocultura de Leite,3
20 - 50 ha,"Avicultura, Mandiocultura, Fruticultura, Olericultura",3
1 - 5 ha,"Mandiocultura, Fruticultura, Olericultura",3
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Fruticultura, Culturas Anuais",3
50 - 100 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",3
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura",3
50 - 100 ha,"Bovinocultura de corte, Fruticultura",3
100 - 200 ha,"Bovinocultura de corte, Mandiocultura",2
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Culturas Anuais",2
20 - 50 ha,"Mandiocultura, Fruticultura",2
10 - 20 ha,"Bovinocultura de Leite, Pisicultura",2
10 - 20 ha,"Bovinocultura de corte, Avicultura, Culturas Anuais",2
10 - 20 ha,"Bovinocultura de corte, Avicultura, Olericultura",2
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Olericultura",2
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",2
100 - 200 ha,"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",2
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Fruticultura",2
20 - 50 ha,"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",2
1 - 5 ha,"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",2
10 - 20 ha,"Avicultura, Mandiocultura, Olericultura",2
50 - 100 ha,"Bovinocultura de Leite, Avicultura",2
20 - 50 ha,"Mandiocultura, Olericultura",2
1 - 5 ha,"Avicultura, Mandiocultura, Olericultura",2
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura",2
