area_da_propriedade__hectares__,regional_,uso_de_praticas_convencionais,Record Count
Até 1 ha,Paraiso,"Aração e gradagem, Uso de agrotóxicos",1
50 - 100 ha,Gurupi,Não usa,1
50 - 100 ha,Araguaina,Roça de toco,1
20 - 50 ha,Porto,"Plantio convencional, Pastagem nativa, Uso de agrotóxicos",1
50 - 100 ha,Taguatinga,Plantio convencional,1
50 - 100 ha,Araguaina,"Roça de toco, Queimadas",1
1 - 5 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Gurupi,"Plantio convencional, Não usa",1
10 - 20 ha,Araguaina,"Roça de toco, Pastagem nativa",1
50 - 100 ha,Araguaina,"Roça de toco, Uso de agrotóxicos",1
Até 1 ha,Taguatinga,Aração e gradagem,1
50 - 100 ha,Taguatinga,"Plantio convencional, Aração e gradagem",1
1 - 5 ha,Araguatins,"Roça de toco, Queimadas, Uso de agrotóxicos",1
5 - 10 ha,Araguaina,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Araguaina,"Roça de toco, Queimadas, Monocultura",1
10 - 20 ha,Araguaina,"Roça de toco, Queimadas",1
10 - 20 ha,Taguatinga,"Roça de toco, Plantio convencional, Aração e gradagem",1
100 - 200 ha,Paraiso,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",1
10 - 20 ha,Taguatinga,Plantio convencional,1
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Miracema,"Roça de toco, Plantio convencional, Aração e gradagem",1
10 - 20 ha,Araguaina,"Queimadas, Uso de agrotóxicos",1
1 - 5 ha,Araguaina,"Roça de toco, Aração e gradagem",1
100 - 200 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Araguaina,"Roça de toco, Queimadas, Pastagem nativa",1
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",1
100 - 200 ha,Paraiso,"Roça de toco, Uso de agrotóxicos",1
20 - 50 ha,Porto,"Roça de toco, Plantio convencional, Aração e gradagem, Monocultura",1
Até 1 ha,Araguaina,"Aração e gradagem, Monocultura",1
100 - 200 ha,Paraiso,"Roça de toco, Aração e gradagem",1
10 - 20 ha,Araguaina,"Aração e gradagem, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Miracema,"Aração e gradagem, Não usa",1
10 - 20 ha,Taguatinga,Pastagem nativa,1
20 - 50 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
10 - 20 ha,Taguatinga,Não usa,1
1 - 5 ha,Araguaina,"Roça de toco, Não usa",1
20 - 50 ha,Araguaina,"Roça de toco, Aração e gradagem",1
1 - 5 ha,Paraiso,"Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Não usa",1
20 - 50 ha,Gurupi,"Aração e gradagem, Pastagem nativa",1
100 - 200 ha,Taguatinga,Roça de toco,1
50 - 100 ha,Porto,Plantio convencional,1
20 - 50 ha,Paraiso,"Roça de toco, Não usa",1
100 - 200 ha,Gurupi,"Plantio convencional, Aração e gradagem",1
10 - 20 ha,Araguaina,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
5 - 10 ha,Colinas,"Roça de toco, Queimadas, Uso de agrotóxicos",1
10 - 20 ha,Taguatinga,"Aração e gradagem, Queimadas, Pastagem nativa",1
5 - 10 ha,Araguatins,"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
100 - 200 ha,Miracema,"Plantio convencional, Uso de agrotóxicos",1
1 - 5 ha,Paraiso,"Plantio convencional, Aração e gradagem, Queimadas",1
5 - 10 ha,Taguatinga,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
100 - 200 ha,Paraiso,Não usa,1
50 - 100 ha,Miracema,"Roça de toco, Plantio convencional, Pastagem nativa",1
50 - 100 ha,Miracema,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
5 - 10 ha,Taguatinga,"Aração e gradagem, Não usa",1
100 - 200 ha,Gurupi,Não usa,1
1 - 5 ha,Araguatins,"Plantio convencional, Aração e gradagem",1
50 - 100 ha,Araguaina,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura, Uso de agrotóxicos",1
1 - 5 ha,Araguatins,"Roça de toco, Plantio convencional",1
20 - 50 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Paraiso,"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Aração e gradagem, Pastagem nativa",1
10 - 20 ha,Paraiso,"Aração e gradagem, Monocultura, Uso de agrotóxicos",1
100 - 200 ha,Taguatinga,"Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",1
10 - 20 ha,Porto,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Colinas,"Aração e gradagem, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Paraiso,Uso de agrotóxicos,1
20 - 50 ha,Taguatinga,"Roça de toco, Plantio convencional",1
5 - 10 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Taguatinga,"Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Paraiso,"Plantio convencional, Pastagem nativa, Uso de agrotóxicos",1
1 - 5 ha,Araguatins,"Monocultura, Não usa",1
20 - 50 ha,Araguaina,Uso de agrotóxicos,1
5 - 10 ha,Taguatinga,Não usa,1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Não usa",1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Uso de agrotóxicos",1
1 - 5 ha,Porto,"Plantio convencional, Aração e gradagem, Não usa",1
20 - 50 ha,Araguatins,"Roça de toco, Plantio convencional, Uso de agrotóxicos",1
200 - 320 ha,Gurupi,"Aração e gradagem, Monocultura",1
20 - 50 ha,Araguatins,"Roça de toco, Aração e gradagem, Uso de agrotóxicos",1
100 - 200 ha,Taguatinga,"Plantio convencional, Queimadas, Pastagem nativa",1
1 - 5 ha,Miracema,"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",1
10 - 20 ha,Paraiso,"Roça de toco, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas",1
50 - 100 ha,Paraiso,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",1
50 - 100 ha,Gurupi,"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
50 - 100 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Monocultura",1
100 - 200 ha,Paraiso,Aração e gradagem,1
Até 1 ha,Araguaina,Plantio convencional,1
5 - 10 ha,Miracema,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Gurupi,"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",1
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
20 - 50 ha,Paraiso,"Plantio convencional, Pastagem nativa, Monocultura",1
20 - 50 ha,Araguatins,"Aração e gradagem, Queimadas, Pastagem nativa",1
200 - 320 ha,Paraiso,"Roça de toco, Queimadas, Pastagem nativa",1
20 - 50 ha,Paraiso,"Roça de toco, Plantio convencional, Aração e gradagem",1
20 - 50 ha,Taguatinga,"Aração e gradagem, Monocultura",1
200 - 320 ha,Gurupi,"Plantio convencional, Uso de agrotóxicos",1
10 - 20 ha,Gurupi,"Plantio convencional, Aração e gradagem, Monocultura",1
5 - 10 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",1
50 - 100 ha,Taguatinga,"Roça de toco, Pastagem nativa",1
50 - 100 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",1
10 - 20 ha,Araguatins,"Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Araguatins,"Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Porto,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
5 - 10 ha,Colinas,Aração e gradagem,1
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Araguaina,Roça de toco,1
50 - 100 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
20 - 50 ha,Colinas,"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
5 - 10 ha,Miracema,Não usa,1
10 - 20 ha,Porto,Não usa,1
20 - 50 ha,Porto,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",1
5 - 10 ha,Colinas,Não usa,1
5 - 10 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Plantio convencional, Pastagem nativa",1
20 - 50 ha,Paraiso,"Aração e gradagem, Não usa",1
10 - 20 ha,Paraiso,"Aração e gradagem, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Araguatins,"Queimadas, Pastagem nativa, Uso de agrotóxicos",1
50 - 100 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
1 - 5 ha,Taguatinga,"Aração e gradagem, Pastagem nativa, Não usa",1
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Queimadas",1
200 - 320 ha,Paraiso,Não usa,1
5 - 10 ha,Miracema,"Plantio convencional, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
1 - 5 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",1
10 - 20 ha,Miracema,"Plantio convencional, Uso de agrotóxicos",1
20 - 50 ha,Paraiso,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
Até 1 ha,Araguatins,"Plantio convencional, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Roça de toco, Uso de agrotóxicos",1
50 - 100 ha,Porto,"Roça de toco, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Porto,"Roça de toco, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura",1
20 - 50 ha,Miracema,"Plantio convencional, Uso de agrotóxicos",1
1 - 5 ha,Araguaina,"Plantio convencional, Aração e gradagem",1
5 - 10 ha,Taguatinga,Pastagem nativa,1
10 - 20 ha,Porto,Plantio convencional,1
50 - 100 ha,Araguatins,"Roça de toco, Queimadas, Pastagem nativa, Monocultura, Não usa",1
10 - 20 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos, CONTROLE BIOLÓGICO DE PRAGAS E DOENÇAS.",1
50 - 100 ha,Colinas,"Plantio convencional, Uso de agrotóxicos",1
20 - 50 ha,Colinas,Aração e gradagem,1
20 - 50 ha,Araguaina,Queimadas,1
5 - 10 ha,Taguatinga,"Plantio convencional, Pastagem nativa",1
10 - 20 ha,Paraiso,Uso de agrotóxicos,1
10 - 20 ha,Paraiso,"Roça de toco, Queimadas",1
1 - 5 ha,Araguatins,"Aração e gradagem, Uso de agrotóxicos",1
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Monocultura, Uso de agrotóxicos",1
Até 1 ha,Araguaina,"Monocultura, Uso de agrotóxicos",1
50 - 100 ha,Paraiso,Monocultura,1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
Acima de 320 ha,Paraiso,Plantio convencional,1
1 - 5 ha,Miracema,"Aração e gradagem, Monocultura, Uso de agrotóxicos",1
5 - 10 ha,Porto,"Roça de toco, Pastagem nativa",1
10 - 20 ha,Taguatinga,"Plantio convencional, Queimadas, Uso de agrotóxicos",1
10 - 20 ha,Taguatinga,"Roça de toco, Aração e gradagem",1
20 - 50 ha,Miracema,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",1
5 - 10 ha,Araguaina,"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Paraiso,"Aração e gradagem, Monocultura",1
10 - 20 ha,Araguaina,Aração e gradagem,1
10 - 20 ha,Araguaina,"Plantio convencional, Aração e gradagem",1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Queimadas, Monocultura",1
50 - 100 ha,Miracema,"Plantio convencional, Uso de agrotóxicos",1
1 - 5 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
20 - 50 ha,Gurupi,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",1
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Pastagem nativa, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Queimadas, Pastagem nativa",1
5 - 10 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",1
1 - 5 ha,Miracema,Plantio convencional,1
1 - 5 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
10 - 20 ha,Gurupi,Roça de toco,1
10 - 20 ha,Araguaina,Não usa,1
5 - 10 ha,Colinas,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",1
5 - 10 ha,Paraiso,Aração e gradagem,1
Até 1 ha,Araguatins,"Plantio convencional, Queimadas",1
10 - 20 ha,Miracema,"Plantio convencional, Aração e gradagem",1
5 - 10 ha,Araguaina,"Queimadas, Uso de agrotóxicos",1
10 - 20 ha,Gurupi,"Aração e gradagem, Uso de agrotóxicos",1
5 - 10 ha,Araguaina,"Roça de toco, Plantio convencional, Uso de agrotóxicos",1
20 - 50 ha,Paraiso,"Roça de toco, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
20 - 50 ha,Porto,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
1 - 5 ha,Paraiso,"Aração e gradagem, Monocultura",1
20 - 50 ha,Araguaina,"Roça de toco, Queimadas, Monocultura, Uso de agrotóxicos",1
5 - 10 ha,Paraiso,Plantio Irrigado,1
20 - 50 ha,Colinas,"Plantio convencional, Uso de agrotóxicos",1
5 - 10 ha,Araguatins,"Roça de toco, Aração e gradagem, Queimadas",1
20 - 50 ha,Miracema,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
5 - 10 ha,Araguatins,"Roça de toco, Queimadas, Pastagem nativa, Não usa",1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Pastagem nativa, Monocultura",1
50 - 100 ha,Araguaina,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
20 - 50 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
1 - 5 ha,Araguaina,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",1
10 - 20 ha,Paraiso,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Porto,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
1 - 5 ha,Colinas,"Roça de toco, Plantio convencional, Queimadas",1
50 - 100 ha,Araguaina,"Aração e gradagem, Queimadas, Uso de agrotóxicos",1
50 - 100 ha,Miracema,Pastagem nativa,1
10 - 20 ha,Paraiso,"Plantio convencional, Aração e gradagem, Monocultura",1
100 - 200 ha,Paraiso,"Pastagem nativa, Uso de agrotóxicos",1
1 - 5 ha,Taguatinga,Roça de toco,1
1 - 5 ha,Miracema,"Aração e gradagem, Uso de agrotóxicos",1
50 - 100 ha,Araguaina,"Roça de toco, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
50 - 100 ha,Araguatins,"Aração e gradagem, Monocultura, Uso de agrotóxicos",1
1 - 5 ha,Araguaina,"Roça de toco, Plantio convencional, Pastagem nativa",1
20 - 50 ha,Taguatinga,"Aração e gradagem, Uso de agrotóxicos",1
50 - 100 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",1
5 - 10 ha,Araguatins,"Roça de toco, Aração e gradagem, Queimadas, Não usa",1
20 - 50 ha,Gurupi,"Plantio convencional, Monocultura, Uso de agrotóxicos",1
Até 1 ha,Araguatins,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
10 - 20 ha,Paraiso,"Aração e gradagem, Uso de agrotóxicos",1
20 - 50 ha,Porto,"Queimadas, Pastagem nativa, Monocultura",1
50 - 100 ha,Gurupi,"Aração e gradagem, Queimadas",1
10 - 20 ha,Araguaina,"Roça de toco, Monocultura",1
50 - 100 ha,Porto,"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",1
50 - 100 ha,Araguatins,"Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",1
50 - 100 ha,Araguaina,"Roça de toco, Pastagem nativa",1
20 - 50 ha,Araguaina,"Roça de toco, Queimadas, Uso de agrotóxicos",1
5 - 10 ha,Paraiso,"Roça de toco, Plantio convencional, Monocultura",1
50 - 100 ha,Paraiso,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",1
100 - 200 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Miracema,"Aração e gradagem, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Paraiso,"Roça de toco, Pastagem nativa",1
20 - 50 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem",1
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Uso de agrotóxicos",1
1 - 5 ha,Araguatins,Roça de toco,1
20 - 50 ha,Miracema,"Roça de toco, Aração e gradagem, Queimadas, Pastagem nativa",1
1 - 5 ha,Araguaina,"Aração e gradagem, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Gurupi,"Roça de toco, Plantio convencional, Aração e gradagem",1
50 - 100 ha,Paraiso,"Roça de toco, Uso de agrotóxicos",1
10 - 20 ha,Porto,"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",1
50 - 100 ha,Araguaina,"Roça de toco, Aração e gradagem, Pastagem nativa",1
Até 1 ha,Gurupi,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
50 - 100 ha,Miracema,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
50 - 100 ha,Araguaina,"Roça de toco, Plantio convencional, Pastagem nativa",1
100 - 200 ha,Araguaina,"Aração e gradagem, Queimadas, Uso de agrotóxicos",1
1 - 5 ha,Porto,Queimadas,1
1 - 5 ha,Araguatins,"Monocultura, Uso de agrotóxicos",1
50 - 100 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Miracema,"Roça de toco, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Colinas,"Plantio convencional, Aração e gradagem",1
5 - 10 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Porto,"Roça de toco, Queimadas",1
20 - 50 ha,Paraiso,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Araguaina,"Roça de toco, Queimadas",1
20 - 50 ha,Porto,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",1
20 - 50 ha,Paraiso,"Roça de toco, Pastagem nativa, Não usa",1
200 - 320 ha,Paraiso,Plantio convencional,1
1 - 5 ha,Araguaina,"Roça de toco, Plantio convencional, Queimadas, Pastagem nativa, Monocultura, Uso de agrotóxicos",1
Até 1 ha,Araguatins,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
50 - 100 ha,Araguaina,"Pastagem nativa, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura",1
10 - 20 ha,Porto,"Roça de toco, Plantio convencional",1
10 - 20 ha,Paraiso,"Plantio convencional, Queimadas",1
Até 1 ha,Araguatins,Queimadas,1
10 - 20 ha,Porto,"Roça de toco, Aração e gradagem",1
100 - 200 ha,Paraiso,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
5 - 10 ha,Miracema,"Roça de toco, Aração e gradagem, Queimadas",1
Até 1 ha,Paraiso,"Plantio convencional, Aração e gradagem",1
10 - 20 ha,Araguaina,"Roça de toco, Queimadas, Pastagem nativa, Monocultura",1
20 - 50 ha,Colinas,"Roça de toco, Queimadas, Monocultura",1
1 - 5 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
50 - 100 ha,Paraiso,"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem",1
20 - 50 ha,Porto,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",1
100 - 200 ha,Paraiso,"Plantio convencional, Queimadas",1
20 - 50 ha,Paraiso,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Araguaina,"Roça de toco, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Aração e gradagem, Queimadas, Monocultura",1
20 - 50 ha,Taguatinga,"Queimadas, Pastagem nativa",1
200 - 320 ha,Paraiso,"Aração e gradagem, Uso de agrotóxicos",1
