area_da_propriedade__hectares__,regional_,uso_de_praticas_convencionais,Record Count
50 - 100 ha,Gurupi,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",3
20 - 50 ha,Paraiso,Pastagem nativa,3
10 - 20 ha,Porto,Aração e gradagem,3
50 - 100 ha,Gurupi,"Plantio convencional, Aração e gradagem",3
50 - 100 ha,Paraiso,"Plantio convencional, Uso de agrotóxicos",3
10 - 20 ha,Araguaina,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
20 - 50 ha,Paraiso,"Plantio convencional, Aração e gradagem, Pastagem nativa",3
1 - 5 ha,Gurupi,Plantio convencional,3
1 - 5 ha,Araguaina,"Aração e gradagem, Uso de agrotóxicos",3
20 - 50 ha,Taguatinga,Plantio convencional,3
20 - 50 ha,Miracema,"Roça de toco, Plantio convencional",3
5 - 10 ha,Porto,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
5 - 10 ha,Paraiso,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",3
50 - 100 ha,Paraiso,Pastagem nativa,3
50 - 100 ha,Colinas,"Aração e gradagem, Uso de agrotóxicos",3
20 - 50 ha,Taguatinga,Roça de toco,3
20 - 50 ha,Miracema,"Roça de toco, Aração e gradagem",3
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",3
20 - 50 ha,Araguatins,Plantio convencional,3
20 - 50 ha,Porto,Roça de toco,3
20 - 50 ha,Porto,Plantio convencional,3
50 - 100 ha,Paraiso,"Aração e gradagem, Uso de agrotóxicos",3
10 - 20 ha,Taguatinga,"Plantio convencional, Aração e gradagem",3
50 - 100 ha,Miracema,Uso de agrotóxicos,3
20 - 50 ha,Porto,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",3
1 - 5 ha,Paraiso,"Roça de toco, Plantio convencional",3
20 - 50 ha,Miracema,"Plantio convencional, Aração e gradagem",3
1 - 5 ha,Paraiso,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
50 - 100 ha,Colinas,"Plantio convencional, Aração e gradagem, Pastagem nativa",3
5 - 10 ha,Paraiso,Plantio convencional,3
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",3
50 - 100 ha,Taguatinga,Aração e gradagem,3
100 - 200 ha,Paraiso,"Plantio convencional, Aração e gradagem",3
20 - 50 ha,Taguatinga,"Roça de toco, Aração e gradagem, Pastagem nativa",2
20 - 50 ha,Araguaina,Aração e gradagem,2
100 - 200 ha,Colinas,Aração e gradagem,2
50 - 100 ha,Araguatins,"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",2
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Queimadas, Uso de agrotóxicos",2
1 - 5 ha,Colinas,Plantio convencional,2
50 - 100 ha,Paraiso,Uso de agrotóxicos,2
20 - 50 ha,Taguatinga,"Roça de toco, Queimadas",2
10 - 20 ha,Gurupi,Aração e gradagem,2
20 - 50 ha,Araguatins,Queimadas,2
100 - 200 ha,Paraiso,"Plantio convencional, Uso de agrotóxicos",2
20 - 50 ha,Gurupi,"Aração e gradagem, Uso de agrotóxicos",2
1 - 5 ha,Porto,Plantio convencional,2
200 - 320 ha,Paraiso,Roça de toco,2
1 - 5 ha,Araguatins,"Plantio convencional, Uso de agrotóxicos",2
20 - 50 ha,Araguaina,"Roça de toco, Aração e gradagem, Queimadas",2
50 - 100 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",2
10 - 20 ha,Araguatins,"Roça de toco, Queimadas",2
10 - 20 ha,Araguatins,Não usa,2
10 - 20 ha,Miracema,"Aração e gradagem, Queimadas",2
Até 1 ha,Araguatins,Plantio convencional,2
10 - 20 ha,Miracema,"Roça de toco, Queimadas",2
100 - 200 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",2
20 - 50 ha,Colinas,"Aração e gradagem, Monocultura, Uso de agrotóxicos",2
20 - 50 ha,Taguatinga,"Roça de toco, Plantio convencional, Aração e gradagem",2
1 - 5 ha,Miracema,Não usa,2
20 - 50 ha,Gurupi,Queimadas,2
50 - 100 ha,Araguaina,"Plantio convencional, Uso de agrotóxicos",2
100 - 200 ha,Gurupi,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",2
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",2
20 - 50 ha,Araguaina,"Roça de toco, Aração e gradagem, Uso de agrotóxicos",2
1 - 5 ha,Araguatins,"Roça de toco, Queimadas",2
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",2
1 - 5 ha,Taguatinga,Aração e gradagem,2
100 - 200 ha,Paraiso,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",2
10 - 20 ha,Colinas,"Aração e gradagem, Monocultura, Uso de agrotóxicos",2
50 - 100 ha,Miracema,"Aração e gradagem, Pastagem nativa",2
10 - 20 ha,Miracema,Roça de toco,2
20 - 50 ha,Gurupi,Roça de toco,2
5 - 10 ha,Gurupi,Aração e gradagem,2
200 - 320 ha,Araguaina,"Aração e gradagem, Uso de agrotóxicos",2
1 - 5 ha,Porto,"Plantio convencional, Aração e gradagem",2
5 - 10 ha,Miracema,"Roça de toco, Plantio convencional",2
50 - 100 ha,Paraiso,"Roça de toco, Plantio convencional",2
20 - 50 ha,Miracema,"Aração e gradagem, Monocultura, Uso de agrotóxicos",2
100 - 200 ha,Taguatinga,"Roça de toco, Pastagem nativa",2
10 - 20 ha,Taguatinga,Aração e gradagem,2
50 - 100 ha,Gurupi,"Plantio convencional, Aração e gradagem, Monocultura",2
Até 1 ha,Araguatins,Não usa,2
10 - 20 ha,Taguatinga,Roça de toco,2
5 - 10 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",2
Até 1 ha,Araguatins,"Plantio convencional, Uso de agrotóxicos",2
50 - 100 ha,Araguaina,Aração e gradagem,2
20 - 50 ha,Porto,"Aração e gradagem, Uso de agrotóxicos",2
5 - 10 ha,Araguatins,"Aração e gradagem, Uso de agrotóxicos",2
5 - 10 ha,Miracema,Plantio convencional,2
1 - 5 ha,Araguaina,"Roça de toco, Queimadas, Pastagem nativa",2
10 - 20 ha,Araguaina,"Roça de toco, Aração e gradagem, Pastagem nativa",2
20 - 50 ha,Taguatinga,"Roça de toco, Plantio convencional, Queimadas",2
Até 1 ha,Araguatins,Uso de agrotóxicos,2
20 - 50 ha,Araguaina,"Aração e gradagem, Monocultura, Uso de agrotóxicos",2
20 - 50 ha,Paraiso,"Plantio convencional, Pastagem nativa",2
50 - 100 ha,Taguatinga,"Roça de toco, Aração e gradagem",2
20 - 50 ha,Taguatinga,"Roça de toco, Plantio convencional, Pastagem nativa",2
50 - 100 ha,Araguaina,"Roça de toco, Aração e gradagem, Uso de agrotóxicos",2
5 - 10 ha,Araguatins,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",2
20 - 50 ha,Araguaina,"Aração e gradagem, Queimadas, Pastagem nativa",2
20 - 50 ha,Taguatinga,"Plantio convencional, Aração e gradagem",2
50 - 100 ha,Araguatins,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",2
1 - 5 ha,Miracema,Uso de agrotóxicos,2
5 - 10 ha,Miracema,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",2
50 - 100 ha,Taguatinga,"Roça de toco, Aração e gradagem, Pastagem nativa",2
50 - 100 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",2
10 - 20 ha,Taguatinga,"Roça de toco, Plantio convencional",2
10 - 20 ha,Araguatins,"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",2
10 - 20 ha,Gurupi,Plantio convencional,2
10 - 20 ha,Araguatins,Uso de agrotóxicos,2
