codigo_ibge,municipio_ibge,n_obs,prop_pratica_aceiros,prop_pratica_adubação,prop_pratica_adubação verde,prop_pratica_apiário,prop_pratica_calagem,prop_pratica_consórcio,prop_pratica_curva de nível,prop_pratica_descarte correto de embalagens,prop_pratica_floresta,prop_pratica_ilp - integração lavoura pecuária,prop_pratica_ilpf - integração lavoura pecuária,prop_pratica_não usa,prop_pratica_outros,prop_pratica_plantio direto,prop_pratica_reaproveitamento de residuos,prop_pratica_recuperação de pastagens,prop_pratica_rotação de cultura,prop_any_pratica,mean_n_praticas
Nova Rosalândia,Nova Rosalândia,7,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,1.0,1.0
Novo Acordo,Novo Acordo,6,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,1.0
Novo Jardim,Novo Jardim,7,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1.0
Palmas,Palmas,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0
Palmeiras do Tocantins,Palmeiras do Tocantins,20,0.15,0.15,0.0,0.0,0.1,0.05,0.05,0.15,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.1,0.1,1.0,1.0
Palmeirópolis,Palmeirópolis,4,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Paranã,Paranã,24,0.125,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.125,1.0,1.0
Paraíso do Tocantins,Paraíso do Tocantins,11,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,1.0
Pedro Afonso,Pedro Afonso,6,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,1.0
Peixe,Peixe,8,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,1.0,1.0
Piraquê,Piraquê,15,0.2,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.2,1.0,1.0
Pium,Pium,16,0.1875,0.1875,0.0,0.0,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.1875,1.0,1.0
Ponte Alta do Bom Jesus,Ponte Alta do Bom Jesus,9,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0,1.0
